mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,dataset
1.0063205242156983,0.09659346066119721,0.012903261184692382,0.00212850869783309,240,3,7,sqrt,6,"{'model__n_estimators': 240, 'model__min_samples_split': 3, 'model__min_samples_leaf': 7, 'model__max_features': 'sqrt', 'model__max_depth': 6}",0.8009259259259259,0.7801851851851852,0.8037037037037037,0.8728301886792453,0.8167924528301886,0.8148874912648498,0.03125775910200291,40,diabetes
0.7322498798370362,0.08152329945275706,0.012755584716796876,0.002293729675541501,250,5,5,0.4,4,"{'model__n_estimators': 250, 'model__min_samples_split': 5, 'model__min_samples_leaf': 5, 'model__max_features': 0.4, 'model__max_depth': 4}",0.8114814814814814,0.7727777777777778,0.8109259259259259,0.8669811320754717,0.8190566037735848,0.8162445842068482,0.03007471788161188,33,diabetes
1.0078577041625976,0.0867353616851671,0.013393306732177734,0.0027129715156661593,180,2,10,log2,11,"{'model__n_estimators': 180, 'model__min_samples_split': 2, 'model__min_samples_leaf': 10, 'model__max_features': 'log2', 'model__max_depth': 11}",0.7894444444444445,0.7668518518518518,0.8003703703703703,0.8522641509433961,0.8007547169811321,0.8019371069182389,0.028013231903661194,98,diabetes
0.7188624382019043,0.12274461586666187,0.01213679313659668,0.0013750723504624422,80,8,5,0.4,11,"{'model__n_estimators': 80, 'model__min_samples_split': 8, 'model__min_samples_leaf': 5, 'model__max_features': 0.4, 'model__max_depth': 11}",0.8101851851851851,0.7638888888888888,0.8101851851851852,0.8758490566037737,0.8001886792452829,0.8120593990216631,0.03615925276858928,60,diabetes
0.8044629573822022,0.06981596223561432,0.014937686920166015,0.0035631983009878077,140,2,10,sqrt,10,"{'model__n_estimators': 140, 'model__min_samples_split': 2, 'model__min_samples_leaf': 10, 'model__max_features': 'sqrt', 'model__max_depth': 10}",0.7892592592592592,0.7674074074074074,0.8096296296296296,0.8560377358490566,0.8122641509433963,0.8069196366177497,0.029399322282028552,87,diabetes
4.853554630279541,1.077488063025832,0.017549562454223632,0.00440497883399889,370,3,1,sqrt,8,"{'model__n_estimators': 370, 'model__min_samples_split': 3, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': 8}",0.7983333333333333,0.7701851851851851,0.808888888888889,0.8747169811320755,0.81,0.8124248777078964,0.03429709213653105,59,diabetes
1.0777093410491942,0.2678042949118432,0.013402462005615234,0.003840927462039836,160,5,3,log2,7,"{'model__n_estimators': 160, 'model__min_samples_split': 5, 'model__min_samples_leaf': 3, 'model__max_features': 'log2', 'model__max_depth': 7}",0.8049999999999999,0.7735185185185185,0.7981481481481482,0.8711320754716981,0.8190566037735849,0.8133710691823899,0.03243053212523265,53,diabetes
0.6209526538848877,0.11689145875736556,0.011141777038574219,0.0026911056262531605,110,7,6,log2,8,"{'model__n_estimators': 110, 'model__min_samples_split': 7, 'model__min_samples_leaf': 6, 'model__max_features': 'log2', 'model__max_depth': 8}",0.8033333333333335,0.7762962962962963,0.8031481481481483,0.8613207547169811,0.809245283018868,0.8106687631027254,0.02778303512431834,66,diabetes
0.21487007141113282,0.008311176293483009,0.009074592590332031,0.0014540325076709264,90,4,1,0.4,4,"{'model__n_estimators': 90, 'model__min_samples_split': 4, 'model__min_samples_leaf': 1, 'model__max_features': 0.4, 'model__max_depth': 4}",0.8229629629629629,0.7942592592592592,0.8305555555555556,0.8875471698113208,0.8311320754716982,0.8332914046121592,0.03028537834498581,3,diabetes
2.492987632751465,0.3771733453590512,0.015911006927490236,0.004266711161096606,300,4,5,sqrt,12,"{'model__n_estimators': 300, 'model__min_samples_split': 4, 'model__min_samples_leaf': 5, 'model__max_features': 'sqrt', 'model__max_depth': 12}",0.7914814814814816,0.7688888888888888,0.8048148148148149,0.8743396226415094,0.8047169811320755,0.808848357791754,0.03527268365590323,78,diabetes
1.1601831436157226,0.22694537552746158,0.015556573867797852,0.0022913100567699646,250,10,7,sqrt,5,"{'model__n_estimators': 250, 'model__min_samples_split': 10, 'model__min_samples_leaf': 7, 'model__max_features': 'sqrt', 'model__max_depth': 5}",0.7990740740740742,0.7790740740740741,0.8072222222222222,0.8667924528301887,0.8332075471698113,0.8170740740740741,0.030322483820354077,27,diabetes
0.9641507625579834,0.09523694008388522,0.010744047164916993,0.0004046779447969758,220,3,2,0.2,6,"{'model__n_estimators': 220, 'model__min_samples_split': 3, 'model__min_samples_leaf': 2, 'model__max_features': 0.2, 'model__max_depth': 6}",0.7998148148148148,0.7875925925925926,0.804074074074074,0.8833962264150943,0.8069811320754717,0.8163717679944096,0.03415865624027456,32,diabetes
0.8291604042053222,0.18581970132828704,0.012568044662475585,0.002769461550810689,130,6,8,0.2,12,"{'model__n_estimators': 130, 'model__min_samples_split': 6, 'model__min_samples_leaf': 8, 'model__max_features': 0.2, 'model__max_depth': 12}",0.8057407407407408,0.7714814814814814,0.8105555555555557,0.879811320754717,0.8035849056603774,0.8142348008385746,0.03557311470891082,45,diabetes
