f1,accuracy,brier_score,roc_auc,model__n_estimators,model__max_depth,model__min_samples_split,model__min_samples_leaf,model__min_weight_fraction_leaf,model__max_leaf_nodes,model__max_features,model__criterion
0.6980895287043317,0.7032114274136358,0.22862805281553075,0.7713671431673066,488,5.0,3,48,0.21052631578947367,16.0,0.38421052631578945,gini
0.6958674549747699,0.6967075270995846,0.21861489360162634,0.761785261376309,8,3.0,39,28,0.02631578947368421,2.0,,gini
0.5675890831755026,0.6034444331881268,0.24444634194283324,0.6643895051433122,19,,37,13,0.4473684210526315,27.0,0.38421052631578945,entropy
0.7276306156957968,0.72863944889069,0.1957504321712074,0.7977572313947636,988,15.0,53,56,0.0,49.0,0.19473684210526315,entropy
0.7002041906310426,0.702178097457198,0.21879313647818915,0.7619452558826529,33,15.0,11,14,0.2631578947368421,7.0,,entropy
0.35614347451687645,0.5203120251241009,0.24967368266700357,0.4875397303174148,8,21.0,56,23,0.5,17.0,log2,entropy
0.632486844475482,0.6556985107891804,0.24032181412292486,0.7414312865352795,209,5.0,26,6,0.4473684210526315,19.0,0.8105263157894737,entropy
0.7254334515918935,0.7265120048627292,0.1935188777960687,0.7938955448752744,858,11.0,47,5,0.02631578947368421,43.0,0.38421052631578945,entropy
0.6511374802722025,0.656650795258839,0.2354201035804106,0.7030765665965978,7,13.0,57,7,0.3157894736842105,18.0,0.9052631578947369,entropy
0.6995188624976596,0.7015094721912674,0.21199541154547857,0.7582070244780204,12,21.0,24,14,0.21052631578947367,45.0,0.8578947368421053,gini
0.7138582759399495,0.7152872049437746,0.21065170748078468,0.7777245778602375,1508,9.0,36,47,0.18421052631578946,11.0,0.9052631578947369,entropy
0.7154119804413057,0.7174956944585149,0.21117196418520012,0.7839150317283305,25,13.0,45,21,0.02631578947368421,15.0,log2,entropy
0.5695808346035058,0.6194103940836795,0.24328507588752854,0.7303954363180005,562,15.0,6,14,0.47368421052631576,57.0,0.9526315789473684,entropy
0.6457764934949208,0.6579677844190052,0.23980434628161937,0.6787334491277587,16,30.0,27,57,0.3684210526315789,10.0,0.43157894736842106,gini
0.662918865022156,0.6659102421233918,0.23277188154959122,0.7155589630477619,21,15.0,49,38,0.3421052631578947,58.0,0.6684210526315789,entropy
0.3741720401843288,0.5272008915003545,0.24509542291928943,0.7429972457703784,424,13.0,10,33,0.39473684210526316,6.0,log2,gini
0.7037258835052143,0.7057846216188837,0.22620398955902457,0.7649901229328886,137,9.0,52,44,0.3421052631578947,39.0,,entropy
0.3602159697724242,0.5218518893729105,0.2473549286948038,0.648432790711445,44,27.0,35,17,0.4473684210526315,56.0,sqrt,gini
0.6928197491738455,0.6984500050653428,0.23010959883222354,0.7648800483244349,241,15.0,51,42,0.2631578947368421,8.0,0.4789473684210527,entropy
0.6677159393392461,0.6817141120453855,0.2358425258295221,0.7365981275515072,12,27.0,2,47,0.21052631578947367,33.0,0.19473684210526315,gini
0.4704947013202913,0.5687772262182149,0.24374792956711247,0.7510816909933649,488,17.0,55,41,0.42105263157894735,39.0,0.33684210526315794,gini
0.35614347451687645,0.5203120251241009,0.24611903681909855,0.7416004179455042,424,9.0,36,50,0.42105263157894735,60.0,sqrt,entropy
0.6919036181125748,0.6993009826765272,0.23287803961178377,0.7726600438505594,1737,,9,60,0.2894736842105263,57.0,0.4789473684210527,gini
0.645054960976433,0.6485867693242833,0.23398997062698026,0.6948760555550073,5,13.0,58,37,0.05263157894736842,6.0,0.1,gini
0.3854893939007126,0.531313949954412,0.24494316593145968,0.7388587587627102,209,7.0,10,43,0.39473684210526316,36.0,0.19473684210526315,entropy
0.6387941974593873,0.6615135244656064,0.23943110628854142,0.7488254514173304,2000,25.0,15,60,0.4473684210526315,49.0,0.9526315789473684,gini
0.6646997932106875,0.6788572586364097,0.2372041041845733,0.758802082819331,119,17.0,27,43,0.2894736842105263,29.0,0.24210526315789474,entropy
0.6831603404382663,0.690851990679769,0.22323932355551168,0.7378061356242208,9,13.0,16,5,0.2631578947368421,2.0,0.6684210526315789,gini
0.7249469489363728,0.7258839023401883,0.18798473739475652,0.7928563968196007,988,13.0,2,5,0.02631578947368421,15.0,,gini
0.5228789066544534,0.5896464390639247,0.2438111467756106,0.7205248209627386,33,3.0,34,16,0.21052631578947367,43.0,0.1,gini
0.35614347451687645,0.5203120251241009,0.24864477010309854,0.6443771855375393,209,7.0,48,60,0.47368421052631576,37.0,0.1,gini
0.720990681044177,0.7219937189747745,0.1947332727904222,0.7860934801488221,67,25.0,14,7,0.07894736842105263,43.0,1.0,entropy
0.7249492726318192,0.7258231182251038,0.18778897527444804,0.7937219519255757,182,25.0,31,56,0.02631578947368421,44.0,0.8105263157894737,gini
0.7062867591852395,0.7065545537432885,0.21068419995500368,0.7649107692105256,5,23.0,48,22,0.07894736842105263,16.0,0.33684210526315794,gini
0.7184549016918957,0.7193800020261372,0.20306614263050218,0.7827171309957335,209,27.0,10,28,0.13157894736842105,18.0,0.9052631578947369,gini
0.48277183383386324,0.5465707628406442,0.24578349446513448,0.6071729013082796,6,27.0,53,56,0.4473684210526315,7.0,log2,gini
0.6130850485652457,0.6136156417789485,0.24524773909064992,0.5972740076055884,7,13.0,12,27,0.39473684210526316,31.0,0.33684210526315794,entropy
0.6424361925893993,0.6472089960490326,0.2348255081441264,0.6973686580347186,5,9.0,26,1,0.3157894736842105,17.0,0.9052631578947369,entropy
0.660839300643228,0.6772768716442104,0.23764974168171715,0.7619002786303362,182,30.0,11,13,0.23684210526315788,14.0,log2,gini
0.4193477050945771,0.5462668422652213,0.24434684139782661,0.7555250142275822,1310,1.0,5,38,0.39473684210526316,33.0,0.24210526315789474,gini
0.7112048834983382,0.712126430959376,0.19991023265935004,0.7746389607121357,5,3.0,56,12,0.05263157894736842,39.0,,gini
0.7136012103677714,0.7156721710059771,0.21655702031135285,0.7782272350462356,562,5.0,58,37,0.18421052631578946,38.0,0.6210526315789474,gini
0.35614347451687645,0.5203120251241009,0.24720366561245838,0.6808141589936412,103,3.0,28,43,0.47368421052631576,37.0,0.24210526315789474,entropy
0.6918998277088344,0.6981055617465302,0.23109592630404813,0.7678160414754579,277,11.0,44,46,0.2631578947368421,16.0,0.43157894736842106,entropy
0.7217515852709218,0.7226015601256205,0.1921003463291601,0.7851915377960241,10,17.0,31,21,0.05263157894736842,,0.9052631578947369,gini
0.7070906097160772,0.70856042954108,0.2020027776497899,0.7707069586857334,6,11.0,34,17,0.10526315789473684,23.0,,gini
0.4912803128630939,0.5790092189241212,0.2439341767084727,0.7424485997756483,424,17.0,12,29,0.4473684210526315,46.0,0.4789473684210527,gini
0.6747463152192017,0.6882990578462163,0.23481802523207276,0.7778312271577403,368,17.0,44,7,0.10526315789473684,17.0,0.1473684210526316,gini
0.35614347451687645,0.5203120251241009,0.24962649539354173,0.4911755889232105,89,7.0,19,19,0.5,14.0,0.9526315789473684,entropy
0.6618684049233057,0.6770134738121772,0.2377673972963236,0.7394443553507222,16,15.0,34,32,0.21052631578947367,58.0,log2,gini
0.7262579302519502,0.7272008915003546,0.1900670318595646,0.794620386727064,488,25.0,55,18,0.02631578947368421,,0.5263157894736842,gini
0.6995368117244968,0.703332995643805,0.22963877775276859,0.7649473497221921,488,15.0,12,48,0.3684210526315789,36.0,0.9526315789473684,entropy
0.7017497359215117,0.7068584743187113,0.22689228357941144,0.774810189251514,89,,9,5,0.10526315789473684,35.0,log2,entropy
0.7252433732527885,0.7261067774288319,0.188743735221023,0.7941939540177706,988,7.0,29,9,0.02631578947368421,20.0,0.7157894736842105,gini
0.715081140326091,0.7159153074663156,0.2009880923798709,0.7820884856918224,38,11.0,45,16,0.07894736842105263,23.0,0.5736842105263158,entropy
0.6953381604266824,0.702157836085503,0.23060917601933176,0.7726361242421552,103,7.0,17,56,0.13157894736842105,52.0,0.19473684210526315,entropy
0.6801906429506153,0.6809644412926755,0.21908373846877133,0.7289814860503903,3,9.0,49,60,0.2631578947368421,51.0,1.0,gini
0.6821714435809966,0.6887245466518083,0.22987869852374315,0.7566854462526358,25,9.0,52,45,0.07894736842105263,25.0,log2,entropy
0.6426882928402718,0.6562253064532468,0.2408942576970019,0.6816293007595718,19,11.0,54,59,0.3684210526315789,23.0,0.4789473684210527,gini
0.6682454761353344,0.6762638030594672,0.2321006514776715,0.7340332275722318,19,,44,13,0.3157894736842105,22.0,0.43157894736842106,gini
0.6784398736483868,0.6821598622226724,0.22939697518783997,0.7368192184205246,25,21.0,43,33,0.3157894736842105,44.0,0.5736842105263158,entropy
0.6464920794612606,0.6464593252963226,0.22608809200205,0.6999297461733561,3,5.0,58,17,0.13157894736842105,38.0,0.43157894736842106,gini
0.6748449385545106,0.6818964643906392,0.2267832863131145,0.7335412081766653,8,25.0,24,47,0.2631578947368421,28.0,0.6210526315789474,gini
0.6021145978587942,0.6340188430756761,0.24110237625110228,0.7347495082026534,44,11.0,18,3,0.3421052631578947,,0.24210526315789474,gini
0.6998129550374331,0.7041231891399048,0.2286349627735639,0.7684435230782896,424,25.0,6,43,0.2631578947368421,40.0,0.5263157894736842,gini
0.7072555217717458,0.7093101002937899,0.21806052093504574,0.7713478783632195,158,17.0,44,27,0.2631578947368421,26.0,0.9526315789473684,entropy
0.6370511610074188,0.6596494782696788,0.23973209951390748,0.7504213255830019,89,7.0,14,27,0.3157894736842105,44.0,0.19473684210526315,entropy
0.714019939036683,0.7156721710059771,0.21154651314509323,0.7800900202969206,562,,21,19,0.15789473684210525,28.0,0.6684210526315789,entropy
0.5702228889918138,0.6222672474926553,0.24197135657764518,0.7660557441601121,319,27.0,30,44,0.15789473684210525,33.0,0.1,gini
0.35614347451687645,0.5203120251241009,0.24962558346287672,0.4912160306197305,368,3.0,20,33,0.5,22.0,,gini
0.6842657863275644,0.6945192989565394,0.23385271679381128,0.7768125816235563,241,17.0,16,52,0.15789473684210525,10.0,sqrt,gini
0.7211304360751883,0.722236855435113,0.19205658153079114,0.7874353261817116,21,30.0,41,55,0.05263157894736842,30.0,1.0,gini
0.7116654320116985,0.7130381926856447,0.21203342132352718,0.7732651642997893,119,23.0,33,26,0.18421052631578946,10.0,0.8105263157894737,gini
0.35614347451687645,0.5203120251241009,0.24667855057932675,0.6074332660607198,8,25.0,16,12,0.42105263157894735,30.0,log2,gini
0.4731183542772235,0.5501367642589403,0.24607174781921032,0.5991970627033394,9,27.0,10,52,0.3684210526315789,43.0,0.24210526315789474,entropy
0.3654618175081318,0.5236754128254483,0.24581540697686927,0.7004586914900965,58,25.0,55,59,0.4473684210526315,29.0,0.19473684210526315,entropy
0.6769421785644736,0.6863134434201195,0.2340627934997544,0.7583796552155191,58,15.0,50,16,0.21052631578947367,50.0,0.24210526315789474,entropy
0.7221194367221309,0.7231891399047715,0.19749500451278576,0.7897161391770043,488,13.0,19,29,0.05263157894736842,46.0,0.4789473684210527,gini
0.35614347451687645,0.5203120251241009,0.24710960200206927,0.6421694718853109,25,19.0,22,58,0.4473684210526315,6.0,0.2894736842105263,gini
0.7098367588428962,0.7115591125519198,0.20612162053676059,0.7695298894360614,19,23.0,46,10,0.15789473684210525,5.0,1.0,entropy
0.7112563676529795,0.7126937493668322,0.2058380748678644,0.7727486290532161,33,27.0,28,4,0.15789473684210525,54.0,1.0,entropy
0.35614347451687645,0.5203120251241009,0.24880512871800925,0.6314933039899733,988,,56,57,0.47368421052631576,25.0,0.1,gini
0.6775887430470358,0.6827474420018236,0.23309458897212498,0.7427389041307688,38,17.0,50,25,0.3421052631578947,35.0,0.5736842105263158,gini
0.6755433936120296,0.6864957957653732,0.23596942238524482,0.7609768139755977,1737,13.0,19,28,0.39473684210526316,2.0,0.7631578947368421,entropy
0.602065063168683,0.6389828791409179,0.24123279913432247,0.7578296933750457,368,23.0,48,11,0.3684210526315789,60.0,0.2894736842105263,gini
0.6989876705222183,0.7023807111741466,0.2284984763650618,0.764801072907723,562,,7,42,0.3421052631578947,9.0,0.9052631578947369,gini
0.6464514155827982,0.6524566913180022,0.22886293510856942,0.7120794474763724,5,15.0,26,21,0.15789473684210525,30.0,0.5263157894736842,entropy
0.6913532699635606,0.6937696282038294,0.22907367600278442,0.7504999391421343,44,15.0,50,54,0.3421052631578947,17.0,,entropy
0.6580959562983633,0.6587985006584945,0.22853278733145257,0.6934343820623908,3,1.0,24,15,0.05263157894736842,50.0,0.8105263157894737,gini
0.7087762332984101,0.7097355890993821,0.19579546712181253,0.7721859857493906,3,13.0,14,54,0.0,40.0,0.2894736842105263,gini
0.6333674904918479,0.6466214162698816,0.24095330639700002,0.678862508923079,10,30.0,44,8,0.47368421052631576,14.0,0.9052631578947369,entropy
0.7105796510263592,0.7146185796778441,0.2257557996148968,0.7855737539763213,424,9.0,40,39,0.07894736842105263,50.0,0.19473684210526315,entropy
0.6625648130100823,0.6648161280518691,0.2316586917789933,0.7155423957274489,8,,21,37,0.3157894736842105,26.0,0.9526315789473684,gini
0.6552839515995552,0.6560024313646033,0.23132217672016067,0.7046872933710981,6,13.0,8,45,0.23684210526315788,55.0,0.8578947368421053,gini
0.6954112542522948,0.7006179718366934,0.23172290808855395,0.7650841853434522,858,1.0,24,35,0.3421052631578947,43.0,0.7157894736842105,gini
0.40804303481834736,0.5394184986323574,0.24531697602811012,0.7103071554046719,78,19.0,2,55,0.3421052631578947,53.0,0.1,gini
0.6037900287449709,0.6384966062202412,0.24136255858196098,0.7494917463575745,182,21.0,42,58,0.3684210526315789,46.0,0.2894736842105263,entropy
0.35614347451687645,0.5203120251241009,0.24837045721043022,0.668525389243619,647,15.0,41,52,0.4473684210526315,50.0,0.1,entropy
0.7111193112511558,0.7128153175970013,0.20819234796357913,0.7761367755857981,182,15.0,22,55,0.18421052631578946,54.0,,entropy
0.5511675014503018,0.6054503089859183,0.24392988353566597,0.7019712808442465,58,13.0,50,30,0.47368421052631576,40.0,0.8578947368421053,entropy
0.5161446236671982,0.5862222672474926,0.2444441422722176,0.7075411983078224,33,,33,55,0.2631578947368421,12.0,0.1,gini
0.35614347451687645,0.5203120251241009,0.24964123398479177,0.4903152190718682,38,15.0,23,18,0.5,45.0,0.43157894736842106,gini
