Iteracja,R2,Params
10,0.969061553478241,"{'model__colsample_bytree': 0.7319939418114051, 'model__max_depth': 13, 'model__min_child_weight': 7.826148885406995}"
20,0.969061553478241,"{'model__colsample_bytree': 0.7319939418114051, 'model__max_depth': 13, 'model__min_child_weight': 7.826148885406995}"
30,0.969061553478241,"{'model__colsample_bytree': 0.7319939418114051, 'model__max_depth': 13, 'model__min_child_weight': 7.826148885406995}"
40,0.9714606404304504,"{'model__colsample_bytree': 0.6174815096277165, 'model__max_depth': 10, 'model__min_child_weight': 8.002511279236836}"
50,0.9714606404304504,"{'model__colsample_bytree': 0.6174815096277165, 'model__max_depth': 10, 'model__min_child_weight': 8.002511279236836}"
60,0.9736306071281433,"{'model__colsample_bytree': 0.9737555188414592, 'model__max_depth': 14, 'model__min_child_weight': 71.49961209714282}"
70,0.9713764190673828,"{'model__colsample_bytree': 0.4251558744912447, 'model__max_depth': 6, 'model__min_child_weight': 3.624221879617959}"
80,0.9713764190673828,"{'model__colsample_bytree': 0.4251558744912447, 'model__max_depth': 6, 'model__min_child_weight': 3.624221879617959}"
90,0.9713764190673828,"{'model__colsample_bytree': 0.4251558744912447, 'model__max_depth': 6, 'model__min_child_weight': 3.624221879617959}"
100,0.9720004796981812,"{'model__colsample_bytree': 0.417411003148779, 'model__max_depth': 5, 'model__min_child_weight': 1.9931460263953078}"
110,0.9720004796981812,"{'model__colsample_bytree': 0.417411003148779, 'model__max_depth': 5, 'model__min_child_weight': 1.9931460263953078}"
120,0.9720004796981812,"{'model__colsample_bytree': 0.417411003148779, 'model__max_depth': 5, 'model__min_child_weight': 1.9931460263953078}"
130,0.9733127355575562,"{'model__colsample_bytree': 0.8466611422383059, 'model__max_depth': 4, 'model__min_child_weight': 2.2028143298169254}"
140,0.9733127355575562,"{'model__colsample_bytree': 0.8466611422383059, 'model__max_depth': 4, 'model__min_child_weight': 2.2028143298169254}"
150,0.9733127355575562,"{'model__colsample_bytree': 0.8466611422383059, 'model__max_depth': 4, 'model__min_child_weight': 2.2028143298169254}"
160,0.9733127355575562,"{'model__colsample_bytree': 0.8466611422383059, 'model__max_depth': 4, 'model__min_child_weight': 2.2028143298169254}"
170,0.9733127355575562,"{'model__colsample_bytree': 0.8466611422383059, 'model__max_depth': 4, 'model__min_child_weight': 2.2028143298169254}"
180,0.9733127355575562,"{'model__colsample_bytree': 0.8466611422383059, 'model__max_depth': 4, 'model__min_child_weight': 2.2028143298169254}"
190,0.9733127355575562,"{'model__colsample_bytree': 0.8466611422383059, 'model__max_depth': 4, 'model__min_child_weight': 2.2028143298169254}"
