Iteracja,R2,Params
10,0.8729855367140023,"{'model__alpha': 0.3745401188473625, 'model__l1_ratio': 0.9507143064099162}"
20,0.878768305504252,"{'model__alpha': 0.05808361216819946, 'model__l1_ratio': 0.8661761457749352}"
30,0.8803428275933957,"{'model__alpha': 0.020584494295802447, 'model__l1_ratio': 0.9699098521619943}"
40,0.8803428275933957,"{'model__alpha': 0.020584494295802447, 'model__l1_ratio': 0.9699098521619943}"
50,0.8803428275933957,"{'model__alpha': 0.020584494295802447, 'model__l1_ratio': 0.9699098521619943}"
60,0.8803428275933957,"{'model__alpha': 0.020584494295802447, 'model__l1_ratio': 0.9699098521619943}"
70,0.8803428275933957,"{'model__alpha': 0.020584494295802447, 'model__l1_ratio': 0.9699098521619943}"
80,0.8803170822248244,"{'model__alpha': 0.005522117123602399, 'model__l1_ratio': 0.8154614284548342}"
90,0.8803170822248244,"{'model__alpha': 0.005522117123602399, 'model__l1_ratio': 0.8154614284548342}"
100,0.8803170822248244,"{'model__alpha': 0.005522117123602399, 'model__l1_ratio': 0.8154614284548342}"
110,0.8803170822248244,"{'model__alpha': 0.005522117123602399, 'model__l1_ratio': 0.8154614284548342}"
120,0.8803170822248244,"{'model__alpha': 0.005522117123602399, 'model__l1_ratio': 0.8154614284548342}"
130,0.8803170822248244,"{'model__alpha': 0.005522117123602399, 'model__l1_ratio': 0.8154614284548342}"
140,0.8803170822248244,"{'model__alpha': 0.005522117123602399, 'model__l1_ratio': 0.8154614284548342}"
150,0.8803170822248244,"{'model__alpha': 0.005522117123602399, 'model__l1_ratio': 0.8154614284548342}"
160,0.8803170822248244,"{'model__alpha': 0.005522117123602399, 'model__l1_ratio': 0.8154614284548342}"
170,0.8803104348300133,"{'model__alpha': 0.015456616528867428, 'model__l1_ratio': 0.9283185625877254}"
180,0.8803104348300133,"{'model__alpha': 0.015456616528867428, 'model__l1_ratio': 0.9283185625877254}"
190,0.8803104348300133,"{'model__alpha': 0.015456616528867428, 'model__l1_ratio': 0.9283185625877254}"
