Iteracja,R2,Params
10,0.8515338463290595,"{'model__min_samples_leaf': 8, 'model__min_samples_split': 5, 'model__n_estimators': 349}"
20,0.8531700541291241,"{'model__min_samples_leaf': 6, 'model__min_samples_split': 6, 'model__n_estimators': 103}"
30,0.8542851751212439,"{'model__min_samples_leaf': 6, 'model__min_samples_split': 5, 'model__n_estimators': 360}"
40,0.8522543812302878,"{'model__min_samples_leaf': 4, 'model__min_samples_split': 4, 'model__n_estimators': 88}"
50,0.8532354944207162,"{'model__min_samples_leaf': 6, 'model__min_samples_split': 3, 'model__n_estimators': 344}"
60,0.8536108263215894,"{'model__min_samples_leaf': 6, 'model__min_samples_split': 4, 'model__n_estimators': 135}"
70,0.8550044029922772,"{'model__min_samples_leaf': 6, 'model__min_samples_split': 2, 'model__n_estimators': 167}"
80,0.852881522409292,"{'model__min_samples_leaf': 5, 'model__min_samples_split': 7, 'model__n_estimators': 294}"
90,0.8525252249394379,"{'model__min_samples_leaf': 5, 'model__min_samples_split': 9, 'model__n_estimators': 472}"
100,0.8519518541174869,"{'model__min_samples_leaf': 5, 'model__min_samples_split': 6, 'model__n_estimators': 41}"
110,0.8536678895771095,"{'model__min_samples_leaf': 4, 'model__min_samples_split': 4, 'model__n_estimators': 170}"
120,0.8545724282562914,"{'model__min_samples_leaf': 5, 'model__min_samples_split': 9, 'model__n_estimators': 472}"
130,0.8526202448649682,"{'model__min_samples_leaf': 5, 'model__min_samples_split': 8, 'model__n_estimators': 444}"
140,0.8522003506322412,"{'model__min_samples_leaf': 4, 'model__min_samples_split': 4, 'model__n_estimators': 170}"
150,0.8536295047230907,"{'model__min_samples_leaf': 2, 'model__min_samples_split': 9, 'model__n_estimators': 129}"
160,0.8518603142383716,"{'model__min_samples_leaf': 6, 'model__min_samples_split': 4, 'model__n_estimators': 135}"
170,0.8533076807999171,"{'model__min_samples_leaf': 5, 'model__min_samples_split': 9, 'model__n_estimators': 472}"
180,0.8537335189538133,"{'model__min_samples_leaf': 5, 'model__min_samples_split': 9, 'model__n_estimators': 131}"
190,0.8528288334618253,"{'model__min_samples_leaf': 5, 'model__min_samples_split': 4, 'model__n_estimators': 371}"
