param_model__metric,param_model__n_neighbors,param_model__weights,mean_test_score
chebyshev,8,uniform,0.5757466594346027
chebyshev,20,distance,0.5957618584869021
chebyshev,3,uniform,0.5867099310423249
minkowski,15,uniform,0.6174880052711968
minkowski,22,distance,0.6378740268823486
manhattan,19,uniform,0.6248510008654463
minkowski,22,uniform,0.6198569702898389
minkowski,4,uniform,0.5744506069848697
manhattan,7,uniform,0.6400823003415694
chebyshev,15,distance,0.5994419706026741
manhattan,1,distance,0.5664042717440776
minkowski,30,distance,0.6287957221243173
minkowski,8,distance,0.6456365389960691
minkowski,1,distance,0.5744739149896587
manhattan,9,uniform,0.6333979398210897
manhattan,9,distance,0.6306662785842738
euclidean,8,distance,0.6456365389960691
manhattan,25,distance,0.6177658390088708
chebyshev,31,uniform,0.6073168251577064
chebyshev,26,distance,0.591350345560872
manhattan,28,uniform,0.6107326317963063
euclidean,8,uniform,0.610074193337524
minkowski,11,distance,0.6426448955575169
euclidean,17,distance,0.6365729791733196
manhattan,2,uniform,0.4666235945208224
manhattan,7,distance,0.6399634649286163
manhattan,10,uniform,0.5896213019708697
manhattan,12,distance,0.6294541616793442
manhattan,6,uniform,0.5762175283518918
minkowski,19,distance,0.6431781411559301
euclidean,20,distance,0.6376325091738572
minkowski,15,distance,0.6345240372640266
euclidean,31,uniform,0.6307765834622648
manhattan,18,distance,0.6597307060755336
chebyshev,31,distance,0.6072375824471665
chebyshev,1,distance,0.5536393463053828
manhattan,31,distance,0.6264481550195836
chebyshev,18,uniform,0.5827589260136984
chebyshev,10,distance,0.6157404556120525
chebyshev,25,uniform,0.5889172202605383
manhattan,17,distance,0.6296780942930124
manhattan,20,distance,0.6570802095220146
manhattan,21,distance,0.6315820447461553
minkowski,31,uniform,0.6307765834622648
chebyshev,9,distance,0.6083064170439695
euclidean,10,distance,0.6351038815508853
euclidean,25,uniform,0.6253719927687388
euclidean,28,distance,0.6319793647019815
euclidean,14,distance,0.6402271939703716
euclidean,31,distance,0.6319087649770118
minkowski,18,distance,0.6421267351432831
chebyshev,13,uniform,0.598129133575627
euclidean,19,distance,0.6431781411559301
minkowski,6,distance,0.6278993121041594
euclidean,18,uniform,0.6144427830870458
euclidean,23,distance,0.644978042253584
minkowski,20,distance,0.6376325091738572
chebyshev,6,distance,0.6004678440817055
minkowski,26,distance,0.6391165692055869
manhattan,23,uniform,0.6083635836049187
manhattan,19,distance,0.641261912732954
minkowski,9,distance,0.64376042639139
manhattan,15,distance,0.6348602453487737
manhattan,31,uniform,0.622812836474796
manhattan,23,distance,0.6191459835823003
manhattan,8,distance,0.620685311796893
minkowski,28,uniform,0.6159625175172512
minkowski,12,distance,0.6491640095014931
minkowski,12,uniform,0.619486504279131
euclidean,24,distance,0.6372937820693239
manhattan,13,distance,0.6302991264701748
manhattan,28,distance,0.6323968762762837
minkowski,31,distance,0.6319087649770118
euclidean,6,distance,0.6278993121041594
