model__max_leaf_nodes,model__max_depth,model__criterion,credit_f1,college_f1,diabetes_f1,penguins_f1,mean_f1
70,4,gini,0.8200410870867989,0.8327516846531602,0.6175363830309945,0.9933314809669354,0.8159151589344722
20,18,log_loss,0.8138504790559716,0.8439251867249808,0.6042006844555385,0.9899435028248588,0.8129799632653375
80,19,gini,0.7750812808677697,0.8276008125438178,0.5681296153521836,0.9933333333333334,0.7910362605242762
60,5,entropy,0.8053387645076864,0.8509681043983038,0.611861011956766,0.9933314809669354,0.8153748404574228
40,2,log_loss,0.8648002281347171,0.729040249168596,0.5460903587606911,0.9933314809669354,0.7833155792577349
40,6,entropy,0.8099937899187273,0.8383270153450182,0.5969341707415874,0.9967213114754099,0.8104940718701856
40,8,log_loss,0.804414097017691,0.8356615593594056,0.5647313627887172,0.9933314809669354,0.7995346250331872
30,16,log_loss,0.8028045552160104,0.8310256515599533,0.5723464313271436,0.9899435028248588,0.7990300352319916
80,10,log_loss,0.7902182199554154,0.826879383176613,0.5905787337366284,0.9933314809669354,0.800251954458898
70,2,entropy,0.8648002281347171,0.729040249168596,0.5460903587606911,0.9933333333333334,0.7833160423493344
50,22,entropy,0.801222914287681,0.8362975825857243,0.5475963585350838,0.9933314809669354,0.7946120840938562
60,14,gini,0.8021364361316514,0.8354356948195978,0.5687513284322856,0.9899435028248588,0.7990667405520985
30,18,log_loss,0.8104534056563499,0.8310256515599533,0.5678521475489724,0.9967213114754099,0.8015131290601714
20,3,entropy,0.8065786237685344,0.7908334749689073,0.51698578790393,0.9933314809669354,0.7769323419020768
90,21,log_loss,0.7827063266817506,0.8362328709641662,0.5552364340181424,0.9899435028248588,0.7910297836222294
40,19,log_loss,0.8163476607615415,0.8408485584957528,0.5901658678846603,0.9933314809669354,0.8101733920272225
40,25,gini,0.8160014157943675,0.8306878839292381,0.5905064109602739,0.9967213114754099,0.8084792555398224
60,18,gini,0.7973921067930098,0.8394789891734783,0.5718174648500177,0.9933314809669354,0.8005050104458602
10,28,gini,0.8394485466914038,0.8481452098778395,0.6330524416609065,0.9899435028248588,0.8276474252637521
70,17,gini,0.7873127360534155,0.8360877068625966,0.5983702227778636,0.9899435028248588,0.8029285421296836
80,8,entropy,0.7984939447829349,0.8335705639139567,0.5583623486116545,0.9933314809669354,0.7959395845688704
20,10,entropy,0.8144893000654145,0.8439251867249808,0.6042006844555385,0.9967213114754099,0.814834120680336
20,4,log_loss,0.8104623105495555,0.836786892037027,0.5836257279063592,0.9933314809669354,0.8060516028649694
20,27,log_loss,0.8126693766937668,0.8439251867249808,0.6042006844555385,0.9967213114754099,0.814379139837424
70,26,entropy,0.7910907805644649,0.8269441972761113,0.5612404223918581,0.9933314809669354,0.7931517202998424
50,8,entropy,0.8044926966583528,0.8306774676959735,0.5319143588136594,0.9933314809669354,0.7901040010337301
20,21,entropy,0.8144893000654145,0.8439251867249808,0.6042006844555385,0.9899435028248588,0.8131396685176983
70,15,gini,0.7878325114117736,0.8308051810732223,0.573987499064686,0.9967213114754099,0.797336625756273
30,2,gini,0.8648002281347171,0.729040249168596,0.5460903587606911,0.9933314809669354,0.7833155792577349
40,24,gini,0.8202753332227435,0.8318045240906635,0.5832992771095614,0.9899435028248588,0.8063306593119568
40,23,log_loss,0.8164246557903676,0.8408485584957528,0.5915866329119828,0.9899435028248588,0.8097008375057405
40,12,entropy,0.8118740268051953,0.8420791284439394,0.584935878443426,0.9933314809669354,0.8080551286648741
20,7,log_loss,0.8074821305811563,0.8439251867249808,0.5742041893324858,0.9933314809669354,0.8047357469013896
