trial,bootstrap,criterion,max_features,max_samples,min_samples_leaf,n_estimators,value,time
0,True,gini,0.22479561626896213,0.5780093202212182,0.061616722433639894,381,0.777714658431814,6.549109
1,True,entropy,0.7659541126403374,0.9849549260809971,0.09246782213565524,868,0.7834909534327781,19.478767
2,True,log_loss,0.3329833121584336,0.7159725093210578,0.17237057894447588,190,0.7543516904719867,3.164496
3,True,log_loss,0.25973902572668783,0.8925879806965068,0.1528468876827223,148,0.769067280809625,2.541302
4,True,entropy,0.8591084298026667,0.5325257964926398,0.24312640661491186,597,0.5,8.907883
5,True,log_loss,0.19763058787582308,0.7200762468698007,0.14903538202225403,811,0.7637824161465605,13.097003
6,True,gini,0.5160544169422486,0.6558555380447055,0.15934205586865594,44,0.7545571723404286,0.813511
7,True,gini,0.5783199830488681,0.9474136752138245,0.23437484700462335,193,0.7573910618228253,3.422457
8,True,log_loss,0.3170792254191167,0.6943386448447411,0.21574750183038588,97,0.7179435515193473,1.651291
9,True,entropy,0.15964051494381667,0.9010984903770198,0.24737738732010345,363,0.7225411914051932,5.825054
10,True,log_loss,0.6832057344327899,0.8534286719238086,0.20425406933718915,775,0.7638013229363545,13.955974
11,True,log_loss,0.3647184198821194,0.811649063413779,0.06271167005720474,83,0.7831281750565386,1.717891
12,True,entropy,0.4777719401295595,0.9436063712881633,0.07391884918766034,318,0.7838287632479044,6.623069
13,True,log_loss,0.5181862635055953,0.7468977981821954,0.13550820367170993,716,0.7723034837915332,13.163459
14,True,log_loss,0.5068565529317622,0.6571779905381634,0.2315132947852186,35,0.5952791763846927,0.656555
15,True,entropy,0.3318011623310144,0.5384899549143964,0.08224425745080088,257,0.7761782688938419,4.534138
16,True,log_loss,0.24925604710882868,0.9018360384495572,0.22851179969799557,931,0.7539604807780436,15.49124
17,True,entropy,0.28234813003355336,0.5550259622638384,0.13542155772525127,544,0.7566167387922911,8.821417
18,True,gini,0.2776862483765842,0.7087055015743895,0.07397307346673657,820,0.7806629458578673,14.840285
19,True,gini,0.39090368190343516,0.8515094794475889,0.24435641654419216,344,0.7257769759494046,5.882865
20,True,entropy,0.12950955788362625,0.6424202471887338,0.1719128667959794,963,0.7566210953188117,15.207906
21,True,log_loss,0.21591589767297847,0.6197809453334862,0.1478905520555126,508,0.7549968242759333,8.176841
22,True,log_loss,0.6825730788894877,0.6188187719961998,0.12355662654385065,986,0.7716913582918324,18.00621
23,True,gini,0.35662405197738867,0.917651247794619,0.08730370207997085,636,0.781332537823651,11.938241
24,True,entropy,0.28119662015835034,0.7560465291496405,0.17903455808189,50,0.750084932478063,0.918352
25,True,log_loss,0.37285308084020685,0.5687604720729966,0.07269470424811782,182,0.7776081499907466,3.379884
26,True,gini,0.5441606492795699,0.9086111001006079,0.1559301156712013,926,0.7696895817415856,17.198947
27,True,log_loss,0.37122383283896054,0.816550728636634,0.11984191492253218,249,0.7767305792209347,4.565472
28,True,gini,0.1673119719960391,0.8210158230771438,0.08232574281892276,729,0.7763131955814732,12.158528
29,True,gini,0.10404926707697496,0.8317508845540279,0.08216161028349973,900,0.7800628846340915,14.489478
30,True,gini,0.2897992699974401,0.8560896106737679,0.11507993963185355,553,0.7734946071971247,10.052386
31,True,entropy,0.17493981426247399,0.7841543016677358,0.12354316061188671,749,0.7749093817204806,12.321712
32,True,entropy,0.6049109007978103,0.9460232775885566,0.20896226070832968,272,0.7570612960844795,4.979337
33,True,gini,0.32461788995268465,0.8612260576307527,0.05486319328629077,508,0.7885080240777712,10.078812
34,True,log_loss,0.39612696020435556,0.9574321951102243,0.053091323305773486,649,0.7910555102740511,13.515242
35,True,entropy,0.3355591136556686,0.92650472773368,0.12701954572038504,929,0.7732861233028343,16.822455
36,True,log_loss,0.6568238373399784,0.9680773870803905,0.16401223401787302,853,0.7724475781877665,16.375934
37,True,entropy,0.8018984575423643,0.7591648261818684,0.19815372355084088,106,0.7603449530536672,1.994655
38,True,gini,0.7480907157433446,0.9046805777392568,0.22341446371602075,700,0.7633400810593998,12.750208
39,True,log_loss,0.6615735018061627,0.8249819653888826,0.20915853388722022,915,0.7612358935126262,16.209472
40,True,entropy,0.1287538190373937,0.789140070498087,0.14311960362649204,891,0.7676214648399404,14.096024
41,True,entropy,0.7580804485277266,0.5186740943746072,0.12203812828225258,547,0.7697492020815805,9.493346
42,True,entropy,0.1682779719950144,0.8114452379095001,0.06033634423372154,135,0.7794478396747897,2.348148
43,True,log_loss,0.5130402786409562,0.9879260397312672,0.1145912945882492,536,0.7765008318288704,10.657328
44,True,entropy,0.8701187317423401,0.5126753717077288,0.21719602410244115,798,0.5,11.739453
45,True,gini,0.5393813317648964,0.6251214490822976,0.1929191845400125,699,0.7448156410311472,11.656001
46,True,entropy,0.5893765969874818,0.7771770262557003,0.133920012485558,664,0.7718183209287619,12.443017
47,True,entropy,0.13680211361740222,0.5580363202534582,0.05814576046379403,255,0.7789685089155718,4.149064
48,True,gini,0.4787774166244526,0.7458079375584161,0.08464037398200304,857,0.779050045284492,16.195964
49,True,log_loss,0.399690091701177,0.5226520048860223,0.17517198314284727,439,0.7226662927311888,7.09785
50,True,gini,0.6139354225650525,0.5352843737002149,0.05530226210832437,508,0.7871390339893849,10.288888
51,True,gini,0.46660231239321337,0.8216441092211766,0.159123357863187,590,0.7680758270652663,10.807746
52,True,entropy,0.15548904070013236,0.5978955673946482,0.07015560027548534,942,0.7776425228775834,15.51042
53,True,entropy,0.7759002487755636,0.6594878151468806,0.054654387147165175,28,0.7848958526856976,0.74488
54,True,log_loss,0.8019776108216424,0.8144714233899419,0.1970142087607772,817,0.7656510352919226,15.482834
55,True,log_loss,0.8924041136005386,0.9034173696336321,0.13252353538228528,806,0.7764630216184404,17.617954
56,True,log_loss,0.4431952219000147,0.9292063759215059,0.2001742135582995,378,0.7611329908219355,6.492658
57,True,entropy,0.35603968082448945,0.9132287330538709,0.2291046456992401,757,0.7530306840780812,12.526752
58,True,entropy,0.8600495736406439,0.6596568187952074,0.24012142938751124,395,0.6784542595699442,6.659082
59,True,gini,0.6380147648616308,0.664332272684958,0.20047490588753603,578,0.7483382613821233,9.928176
60,True,gini,0.5396231058589884,0.5287793800083221,0.1383061002746754,794,0.7608131323306144,13.007859
61,True,gini,0.5945744506530088,0.8807553158587361,0.07022453522455806,889,0.7874850703270143,19.21564
62,True,log_loss,0.1650790245135198,0.8531211135782482,0.06696754281703839,93,0.7799814133561997,1.649815
63,True,log_loss,0.8888008510582968,0.9736242886919293,0.2006756370517883,987,0.7685004845245633,18.621555
64,True,entropy,0.8250835080757888,0.7121110046234882,0.07223949646123028,382,0.7855879406082497,8.629543
65,True,entropy,0.1940209974216839,0.559408958134036,0.1798420604232127,498,0.7396590763798138,7.856856
66,True,entropy,0.7948793025515682,0.6428560431409304,0.09471916770389054,749,0.7771185045993927,14.987146
67,True,entropy,0.5221608872690399,0.9455715568490355,0.2485929592238601,964,0.7537074950917133,16.722224
68,True,entropy,0.6565989511876937,0.8146993190676313,0.14090821295355466,83,0.7690148541429636,1.65184
69,True,entropy,0.860329187261247,0.6404815947961151,0.22805275677818326,631,0.700495252780938,11.15153
70,True,gini,0.3826817824208423,0.7318492024699911,0.1667312223701744,461,0.7595666173163964,7.776785
71,True,entropy,0.3476220930290622,0.7680481831720603,0.21275900394138975,87,0.7504483246860236,1.845189
72,True,entropy,0.680575606710688,0.974899956645962,0.172683039187158,688,0.7701482168762566,12.977816
73,True,gini,0.4011706935024397,0.5131834872486261,0.2121106661563666,424,0.5031111111111111,6.302644
74,True,entropy,0.773695138508567,0.9849571989073016,0.21766574094222757,988,0.7654466193848837,18.298952
75,True,gini,0.750320807304062,0.9323611881275267,0.24994353465722613,474,0.7544899585318721,8.714861
76,True,log_loss,0.29787848139455814,0.9248236953387057,0.14010882706201871,997,0.7717251997617807,17.702013
77,True,gini,0.5945025923663166,0.8358503422029284,0.12163254360656811,137,0.7763757605227037,2.742006
78,True,log_loss,0.7817452002548321,0.7600817505559967,0.16038136775489711,122,0.7681543932468686,2.349298
