trial,bootstrap,criterion,max_features,max_samples,min_samples_leaf,n_estimators,value,time,dataset
0,True,gini,0.22479561626896213,0.5780093202212182,0.061616722433639894,381,0.7505714285714287,1.285518,31
1,True,entropy,0.7659541126403374,0.9849549260809971,0.09246782213565524,868,0.7276428571428571,3.711169,31
2,True,log_loss,0.3329833121584336,0.7159725093210578,0.17237057894447588,190,0.7234285714285715,0.628713,31
3,True,log_loss,0.25973902572668783,0.8925879806965068,0.1528468876827223,148,0.742654761904762,0.516226,31
4,True,entropy,0.8591084298026667,0.5325257964926398,0.24312640661491186,597,0.5,1.772123,31
5,True,log_loss,0.19763058787582308,0.7200762468698007,0.14903538202225403,811,0.7387976190476191,2.587573,31
6,True,gini,0.5160544169422486,0.6558555380447055,0.15934205586865594,44,0.7311904761904762,0.165406,31
7,True,gini,0.5783199830488681,0.9474136752138245,0.23437484700462335,193,0.721107142857143,0.674714,31
8,True,log_loss,0.3170792254191167,0.6943386448447411,0.21574750183038588,97,0.5905,0.333725,31
9,True,entropy,0.15964051494381667,0.9010984903770198,0.24737738732010345,363,0.6542738095238095,1.15154,31
10,True,gini,0.4434268390199836,0.5037736596581465,0.05290543602403584,541,0.7449761904761906,1.955663,31
11,True,gini,0.4246988245256757,0.5057718506030423,0.05074535792578661,524,0.7463333333333333,1.905516,31
12,True,gini,0.40256712672084416,0.5962024646862834,0.05328708704502853,353,0.7458095238095238,1.316951,31
13,True,gini,0.10575594674951896,0.5914320329841866,0.09287432711976219,700,0.7467380952380953,2.207929,31
14,True,gini,0.13779278020991176,0.8045369317168722,0.0994848355205204,715,0.7532619047619048,2.415372,31
15,True,gini,0.6208126425372756,0.8033683418157449,0.10470961429592242,984,0.7302380952380952,3.752207,31
16,True,gini,0.23355607873371353,0.7954038992607804,0.11929531797181758,340,0.742297619047619,1.164432,31
17,True,gini,0.1125997986037032,0.844005227716702,0.0744925816282383,689,0.7542380952380953,2.273699,31
18,True,gini,0.15346828801080434,0.8171270626226292,0.07984535101660246,686,0.7514285714285716,2.320989,31
19,True,entropy,0.10879135139501689,0.8588213708566873,0.12530910345109425,761,0.7490119047619048,2.444689,31
20,True,gini,0.3361657696596944,0.7864440093366396,0.0742490843623606,958,0.7457380952380952,3.484842,31
21,True,gini,0.1019313609586125,0.8475779086510385,0.0797519687456681,643,0.7551904761904762,2.075401,31
22,True,gini,0.10721939429878213,0.8535239008522488,0.1105565416650864,635,0.7483333333333333,2.048276,31
23,True,gini,0.28027030884336457,0.7537458820696781,0.13274612290061935,450,0.7395119047619049,1.533725,31
24,True,gini,0.16999230231691714,0.9155125820783022,0.08124864302718449,877,0.7511666666666666,2.989415,31
25,True,gini,0.6804343730897717,0.8549799693556687,0.09755448975001176,745,0.7271547619047619,2.998396,31
26,True,gini,0.1906577679295744,0.7519478088416454,0.0720551496655036,627,0.750904761904762,2.143971,31
27,True,gini,0.27178483334899006,0.834539480698203,0.14094664288391617,471,0.7404642857142858,1.69542,31
28,True,log_loss,0.10130882860609008,0.9364687537503693,0.18256253331454733,820,0.7264761904761905,2.553285,31
29,True,entropy,0.21597606547317433,0.9906565433791467,0.07263030288930238,571,0.7510000000000001,2.049314,31
30,True,gini,0.36278691930221807,0.7740209613207738,0.11190970449561605,688,0.739952380952381,2.412781,31
31,True,gini,0.15184156386875003,0.8288680451152546,0.08240414343384163,677,0.7508095238095238,2.27277,31
32,True,gini,0.15418914104950318,0.8210365982990754,0.06578085616188883,752,0.7524761904761905,2.788367,31
33,True,gini,0.23147492202093517,0.8771458145222978,0.06588846129247125,885,0.7501428571428572,3.225172,31
34,True,gini,0.14494796536774748,0.9479811449509938,0.09236616581887264,772,0.7535714285714287,2.572727,31
35,True,entropy,0.27895399713009483,0.9603393878238721,0.09143879219247275,822,0.7457619047619048,2.968094,31
