dataset,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__criterion,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.051749038696289065,0.009849901481106949,0.012025547027587891,0.0036678115011766336,gini,22,56,20,"OrderedDict([('model__criterion', 'gini'), ('model__max_depth', 22), ('model__min_samples_leaf', 56), ('model__min_samples_split', 20)])",0.8817744480258636,0.8674681302087871,0.8529004655844974,0.8414012060671177,0.8414302446012525,0.8569948988975036,0.015658229355258197,75
0,0.05534968376159668,0.0038879127707147805,0.01269359588623047,0.0042224348912676644,entropy,27,19,57,"OrderedDict([('model__criterion', 'entropy'), ('model__max_depth', 27), ('model__min_samples_leaf', 19), ('model__min_samples_split', 57)])",0.8461393268867787,0.8878773799498603,0.8435742563715384,0.8732709972800573,0.8759377026647694,0.8653599326306007,0.017467438116583574,41
0,0.05437579154968262,0.007966382824157436,0.008076858520507813,0.0024957625766613796,gini,28,7,27,"OrderedDict([('model__criterion', 'gini'), ('model__max_depth', 28), ('model__min_samples_leaf', 7), ('model__min_samples_split', 27)])",0.8160650850345075,0.8846105448596955,0.8205176602685098,0.8484720891289409,0.8332171791967942,0.8405765116976894,0.02473323089313937,89
0,0.03593802452087402,0.005675933554198672,0.004238796234130859,0.005201850295318045,entropy,6,36,49,"OrderedDict([('model__criterion', 'entropy'), ('model__max_depth', 6), ('model__min_samples_leaf', 36), ('model__min_samples_split', 49)])",0.8756569968347998,0.8715528840104152,0.8817744480258637,0.858611377297674,0.8580015680808433,0.8691194548499193,0.009411025289737814,10
0,0.040676450729370116,0.0077619664463024025,0.003847026824951172,0.004722275506950876,entropy,14,32,44,"OrderedDict([('model__criterion', 'entropy'), ('model__max_depth', 14), ('model__min_samples_leaf', 32), ('model__min_samples_split', 44)])",0.8795771989429975,0.886454491777255,0.8471363165587401,0.8546185788541394,0.8564141282148079,0.8648401428695879,0.015318384120672346,44
0,0.04114885330200195,0.0033796964922475593,0.007836389541625976,0.004098437508927737,entropy,28,11,13,"OrderedDict([('model__criterion', 'entropy'), ('model__max_depth', 28), ('model__min_samples_leaf', 11), ('model__min_samples_split', 13)])",0.8041060487266602,0.8776074183775202,0.8134177386725518,0.817792877815528,0.8336866354986401,0.8293221438181801,0.025970144613230127,90
0,0.03804645538330078,0.002719263002645678,0.008511495590209962,0.003002738952636719,entropy,23,22,53,"OrderedDict([('model__criterion', 'entropy'), ('model__max_depth', 23), ('model__min_samples_leaf', 22), ('model__min_samples_split', 53)])",0.8509887620872899,0.8827230401409336,0.8405445693101412,0.8711027867313257,0.860973178073971,0.8612664672687323,0.014780067640880077,63
0,0.04789977073669434,0.002108130411610603,0.008757686614990235,0.005098400385011957,entropy,28,30,51,"OrderedDict([('model__criterion', 'entropy'), ('model__max_depth', 28), ('model__min_samples_leaf', 30), ('model__min_samples_split', 51)])",0.8759328629090803,0.8844459931662649,0.8467442963479204,0.8558865948446922,0.852237419055086,0.8630494332646087,0.014545507419116872,54
0,0.041841650009155275,0.011334044857525911,0.0038557529449462892,0.0037708569440198336,entropy,21,52,26,"OrderedDict([('model__criterion', 'entropy'), ('model__max_depth', 21), ('model__min_samples_leaf', 52), ('model__min_samples_split', 26)])",0.8788415560782492,0.8597583993959985,0.8592308660258832,0.8501466445973808,0.8611619285458472,0.8618278789286717,0.009352937047990575,60
0,0.05645418167114258,0.003987170569083888,0.012112712860107422,0.005249266326439093,gini,25,45,17,"OrderedDict([('model__criterion', 'gini'), ('model__max_depth', 25), ('model__min_samples_leaf', 45), ('model__min_samples_split', 17)])",0.8703187463096863,0.8728402590237244,0.854124923773848,0.8320362788086457,0.8305262750336362,0.8519692965899083,0.01807802244616067,82
0,0.04003539085388184,0.002272531665865547,0.012310504913330078,0.00158462418663851,gini,1,60,60,"OrderedDict([('model__criterion', 'gini'), ('model__max_depth', 1), ('model__min_samples_leaf', 60), ('model__min_samples_split', 60)])",0.6958213549380027,0.7044216007975918,0.6215165858427467,0.653342819254484,0.6001490644752253,0.6550502850616101,0.040598954176250056,99
0,0.039853811264038086,0.006225550050433357,0.00899972915649414,0.0018882491466389133,gini,1,60,2,"OrderedDict([('model__criterion', 'gini'), ('model__max_depth', 1), ('model__min_samples_leaf', 60), ('model__min_samples_split', 2)])",0.6958213549380027,0.7044216007975918,0.6215165858427467,0.653342819254484,0.6001490644752253,0.6550502850616101,0.040598954176250056,99
0,0.03593626022338867,0.005048885248670985,0.01361079216003418,0.004751850131908386,entropy,1,60,2,"OrderedDict([('model__criterion', 'entropy'), ('model__max_depth', 1), ('model__min_samples_leaf', 60), ('model__min_samples_split', 2)])",0.7068995557104277,0.7291624318804387,0.734205457308515,0.7130944429925177,0.7189166690865446,0.7204557113956886,0.01005175382669854,95
0,0.04029026031494141,0.0036507756578766717,0.013327360153198242,0.0010024819197796953,entropy,1,22,48,"OrderedDict([('model__criterion', 'entropy'), ('model__max_depth', 1), ('model__min_samples_leaf', 22), ('model__min_samples_split', 48)])",0.7068995557104277,0.7291624318804387,0.734205457308515,0.7130944429925177,0.7189166690865446,0.7204557113956886,0.01005175382669854,95
0,0.058993959426879884,0.0030711611339591,0.00990290641784668,0.004002662244213148,entropy,10,60,2,"OrderedDict([('model__criterion', 'entropy'), ('model__max_depth', 10), ('model__min_samples_leaf', 60), ('model__min_samples_split', 2)])",0.9026725130915392,0.8663114285990843,0.8760490170456197,0.8433177493200144,0.8491980524823107,0.8675097521077136,0.02112508521624355,20
0,0.06490974426269532,0.004634890086249488,0.010782098770141602,0.004785767577178919,entropy,9,1,60,"OrderedDict([('model__criterion', 'entropy'), ('model__max_depth', 9), ('model__min_samples_leaf', 1), ('model__min_samples_split', 60)])",0.8309860518241039,0.8828633930559185,0.8629961959520283,0.8434581022349992,0.8772444367008353,0.859509635953577,0.019714582497596507,68
0,0.055308055877685544,0.0035306814423671485,0.013033390045166016,0.0009972658897513707,entropy,7,60,2,"OrderedDict([('model__criterion', 'entropy'), ('model__max_depth', 7), ('model__min_samples_leaf', 60), ('model__min_samples_split', 2)])",0.8924267502976451,0.8572078481478256,0.8758747858408108,0.8434726215020665,0.8473299067863054,0.8632623825149306,0.018394395211651142,52
0,0.06144204139709473,0.0009726570662085178,0.014163446426391602,0.001124856727714514,gini,16,60,2,"OrderedDict([('model__criterion', 'gini'), ('model__max_depth', 16), ('model__min_samples_leaf', 60), ('model__min_samples_split', 2)])",0.8804241561885956,0.8663646659116647,0.8482155820774168,0.8437242887979015,0.8460134932388613,0.8569484372428879,0.014216107794807148,76
0,0.057172203063964845,0.0026710313528911485,0.012381744384765626,0.0036678894610432393,entropy,18,60,60,"OrderedDict([('model__criterion', 'entropy'), ('model__max_depth', 18), ('model__min_samples_leaf', 60), ('model__min_samples_split', 60)])",0.9010511949356796,0.8613555187734122,0.8760490170456197,0.8433177493200144,0.8491980524823107,0.8661943065114073,0.020725546444237908,32
0,0.053426074981689456,0.0033440661175307986,0.012511682510375977,0.0025568102927497503,entropy,7,60,60,"OrderedDict([('model__criterion', 'entropy'), ('model__max_depth', 7), ('model__min_samples_leaf', 60), ('model__min_samples_split', 60)])",0.8895616149296783,0.8622411940645236,0.8758747858408108,0.8434726215020665,0.8473299067863054,0.8636960246246769,0.01729915238099034,50
