dataset,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__eta,param_model__max_depth,param_model__min_child_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.7423449039459229,0.013271060620383284,0.0292508602142334,0.002618305614956813,3.963066389815045,0.047454011884736254,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.047454011884736254, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.9343535538326025,0.9260969306269419,0.9106290714444736,0.8952580073757876,0.919611658003504,0.9171898442566621,0.013445025137214751,121
0,0.6725831508636475,0.010516086168163415,0.029055309295654298,0.0024197167412336367,3.963066389815045,0.10507143064099161,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.10507143064099161, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.937431638450891,0.9287781552787215,0.9078510516789112,0.9002139172014596,0.9259904560017809,0.9200530437223527,0.013826608708761349,46
0,0.7228723526000976,0.011260581231963947,0.028426265716552733,0.0021735791133685764,3.963066389815045,0.0831993941811405,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.0831993941811405, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.9380414476677217,0.9296493113027654,0.9093416964311641,0.899168529972607,0.9232414747703536,0.9198884920289224,0.013975676080828564,60
0,0.7444555759429932,0.019032591948662535,0.028497934341430664,0.004199870090318558,3.963066389815045,0.06986584841970366,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.06986584841970366, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.9381092042473695,0.9257678272400809,0.9069024595638412,0.896980960401119,0.9230769230769231,0.9181674749058668,0.014527970082528366,105
0,0.755994176864624,0.006379882749186031,0.030100202560424803,0.0014953480128138223,3.963066389815045,0.025601864044243652,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.025601864044243652, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.927045522742012,0.9200665950382825,0.9062878105913214,0.8934721375264976,0.9164706565612568,0.9126685444918742,0.011705558655359577,167
0,0.7563851356506348,0.027716594968025518,0.03057575225830078,0.0010714776363541553,3.963066389815045,0.025599452033620268,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.025599452033620268, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.927045522742012,0.9204828140275481,0.9062781310799432,0.8939464335840327,0.9168868755505222,0.9129279553968116,0.011632480210465474,165
0,0.7545439243316651,0.024825845604635872,0.026581716537475587,0.0042438554747694,3.963066389815045,0.015808361216819947,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.015808361216819947, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.9161754314642196,0.9166448877660657,0.9020239858291954,0.8923735129850645,0.9090319520670596,0.9072499540223209,0.009162136062482104,188
0,0.7192880153656006,0.018114202735800295,0.040516901016235354,0.013701687332155904,3.963066389815045,0.09661761457749352,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.09661761457749352, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.9406258772057187,0.9290782201314478,0.9114421504002478,0.9012593044303123,0.9248482736591458,0.9214507651653745,0.013749716441561593,8
0,0.751276969909668,0.007815561235259472,0.03239912986755371,0.013168781969538265,3.963066389815045,0.07011150117432088,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.07011150117432088, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.9382350378952871,0.9276069344019514,0.9070863702800281,0.8969616013783623,0.9236480142482407,0.9187075916407739,0.014784235609273437,97
0,0.7360710620880127,0.023877614687587003,0.033050537109375,0.0026566995470779235,3.963066389815045,0.08080725777960454,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.08080725777960454, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.9389029241803875,0.9247708375681196,0.9099708646707514,0.899313722643281,0.9231833977020841,0.9192283493529247,0.013533246892939782,87
