dataset,model__C,model__class_weight,model__l1_ratio,model__max_iter,model__penalty,model__solver,model__tol,Score
0,0.0711186785389439,balanced,0.0261128853909734,275,l1,saga,1.4651474025726946e-06,0.91409388359709
0,0.0526856206875709,,0.0,178,l1,saga,1e-06,0.9138932535813394
0,0.0098892382848874,balanced,0.0019625065624064,295,elasticnet,saga,8.283856111592192e-05,0.9135749643741096
0,0.007555508132199,,0.0878106943885039,20,elasticnet,saga,2.655675100691572e-06,0.9142557001425036
0,0.0180566678069162,balanced,0.4462974190348562,501,elasticnet,saga,1e-06,0.9138563151578788
0,0.0131197686642639,balanced,0.2214429153698582,290,elasticnet,saga,2.184393528695052e-05,0.9140314445361134
0,0.0704520410029386,balanced,0.5264712713369243,151,l1,saga,2.8284507568415343e-05,0.9140813832845822
0,0.0188452040608875,,0.3425799955625782,10,elasticnet,saga,1.1393485017381707e-06,0.914019006725168
0,0.077329999991571,balanced,0.1657122562568162,69,l1,saga,9.928455138618907e-05,0.9140689454736368
0,0.001,balanced,0.0,441,l2,saga,8.873627561686761e-06,0.9128651966299158
0,0.0040702576180495,balanced,0.0955864952180002,400,l2,saga,1.9459596477380075e-06,0.9136131528288208
0,0.0061554200525307,,0.0243804714377844,486,elasticnet,saga,7.840276015246961e-05,0.9139183792094802
0,0.0010283753535592,,0.032138043648156,464,elasticnet,saga,4.344235968406929e-06,0.9141182592064802
0,0.0194995466469479,balanced,0.4081485065012826,375,l2,saga,1.734277184832218e-06,0.9135741518537964
0,0.029995222633153,balanced,1.0,416,l2,saga,0.0001,0.9135111502787572
0,0.0366907376592473,balanced,0.1228095827791818,196,elasticnet,saga,3.168318574116123e-06,0.9138555026375658
0,0.0079841831196678,balanced,0.0641651132277644,481,elasticnet,saga,1.9243330344658304e-05,0.9145049563739094
0,0.1308318479323063,,1.0,501,l1,saga,1e-06,0.9135187442186056
0,0.0545131588056036,balanced,0.5957201574309953,121,elasticnet,saga,7.248615915120345e-06,0.9142313245331134
0,0.016814872425307,balanced,0.0,10,l2,saga,1e-06,0.9136619665491637
0,0.040987391969197,,0.6687061470339727,236,l1,saga,1.7680679398810292e-05,0.9136432473311832
0,0.0892370605797233,,0.1739625298159623,10,l1,saga,0.0001,0.9142186992174804
0,0.0268522983814689,,0.3452036341163157,172,elasticnet,saga,1.9774894590839728e-05,0.9141313845346132
0,0.0374386145323439,balanced,0.105949115980443,472,elasticnet,saga,4.2590584707464e-05,0.9138803782594564
0,0.029413380301053,balanced,0.0,10,elasticnet,saga,1e-06,0.913486212155304
0,0.0027036600955732,,0.0897546340667888,91,elasticnet,saga,5.634977835220505e-06,0.9139186917172928
0,0.011219485618272,balanced,0.0548527312886047,26,elasticnet,saga,4.556264229359135e-06,0.9145424573114328
0,0.0247731792794209,balanced,0.4319454864953267,24,l2,saga,1.140016995539236e-06,0.9134489612240304
0,0.0200938952474619,,0.0849740055802801,381,elasticnet,saga,1.767434375376585e-06,0.9142555751393786
0,0.0803101688836484,balanced,0.0199781898518829,188,l1,saga,3.789727248834092e-06,0.9141062589064726
0,0.088114299905841,balanced,0.0900939570400652,175,l1,saga,3.6960481841794544e-05,0.9141688229705744
0,0.0420318786953095,,0.4245403437240058,36,l1,saga,6.929761365188421e-06,0.9136931235780894
0,0.0893739226935677,balanced,0.8686605878772552,128,l1,saga,9.994561524139406e-06,0.9141812607815196
0,0.0055049561667859,,1.0,10,l2,saga,0.0001,0.9134757118927972
0,0.0618749344175308,,0.912931570821514,120,elasticnet,saga,7.321737618884407e-05,0.914019006725168
