,model__bootstrap,model__criterion,model__max_depth,model__max_features,model__min_samples_leaf,model__min_samples_split,model__n_estimators,Score
0,True,log_loss,11,0.32909883207764046,5,6,182,0.8353382010552846
0,True,entropy,6,0.495169088949343,1,16,512,0.8378210157606961
0,True,log_loss,8,0.3969828244829212,8,3,501,0.8360202597677561
0,True,log_loss,10,0.4545229376333094,7,15,399,0.8339787041442888
0,True,entropy,6,0.3904763838048425,1,2,512,0.8371245055577218
0,True,log_loss,10,0.36079084665540184,1,16,512,0.8359407262817445
0,True,entropy,8,0.358032276710991,4,5,380,0.8366788541353586
0,True,log_loss,10,0.3347738833796947,4,16,392,0.8373764046294848
0,True,log_loss,6,0.36644649829660036,3,12,62,0.8351660666453444
0,True,entropy,4,0.5809353571393364,1,10,169,0.837954768981358
0,True,entropy,7,0.341181161125368,1,11,88,0.8380181201605633
0,True,entropy,9,0.2889854970332988,1,12,512,0.8368333005934344
0,True,entropy,15,0.24775846257826753,5,16,509,0.8348849208311413
0,True,log_loss,12,0.27121279665603515,3,14,327,0.8381820448269112
0,True,log_loss,15,0.1,1,16,512,0.8370512138186212
0,True,entropy,10,0.1,1,16,512,0.8363831412427465
0,True,log_loss,7,0.29375524720509116,5,12,512,0.8385370633220272
0,True,gini,5,0.4094729791809576,1,16,512,0.8370601140873646
0,True,gini,4,0.7024036995981389,3,13,32,0.8388758965080534
0,True,entropy,13,0.14300733260452853,1,10,361,0.838124591633183
0,True,log_loss,13,0.22159962259225263,4,9,76,0.8372273938052629
0,True,gini,8,0.1,5,3,32,0.8368230132698219
0,True,log_loss,6,0.39690840334320665,2,12,343,0.8367969999864598
0,True,gini,15,0.3426140856548739,1,12,360,0.8341711850279255
0,True,gini,6,0.30818955715076224,3,2,211,0.8358278974743082
0,True,entropy,13,0.4099082917105097,1,16,512,0.8373073896428972
0,True,gini,10,0.2972934235567244,5,5,224,0.8345136014390304
0,True,log_loss,7,0.17446115683630278,1,5,312,0.8363392118339918
0,True,log_loss,5,0.41594670463635686,2,15,453,0.8366810503055678
0,True,log_loss,8,0.2755516614773583,1,16,512,0.8382429686600957
0,True,entropy,15,0.3680238550331002,1,15,255,0.8355583104506809
0,True,log_loss,8,0.1,1,16,473,0.8363563218463274
0,True,entropy,9,0.1,1,2,512,0.8380230934427942
0,True,entropy,7,0.3994802064765589,4,16,245,0.8343722194165885
0,True,log_loss,13,0.3745906533966,1,16,512,0.8378448298715657
0,True,entropy,4,0.36907480830634165,8,15,201,0.8351968190328426
0,True,log_loss,10,0.4928996756809926,1,16,434,0.838431285376842
0,True,log_loss,4,0.3492410274823754,3,6,129,0.8413332788719149
0,True,entropy,15,0.2595281761477699,4,4,489,0.8350965893071339
0,True,log_loss,10,0.4115312834153032,3,11,289,0.834468169387501
0,True,entropy,15,0.19204512740151097,6,4,175,0.8344014661590285
0,True,gini,13,0.1,3,16,66,0.8372013835241839
0,True,entropy,15,0.1,1,16,512,0.8368075214881671
0,True,gini,8,0.4326897631314497,3,12,214,0.8346927867112218
0,True,entropy,12,0.23504806073212972,1,16,512,0.83653492917899
0,True,entropy,13,0.38984092142933424,3,16,512,0.8349620269711316
0,True,entropy,7,0.49888598641197746,6,13,160,0.8359867362728028
0,True,entropy,14,0.2999831134004275,2,16,416,0.8366594323649078
0,True,log_loss,7,0.33132787946141995,5,16,512,0.8370399987894794
0,True,entropy,11,0.1,1,16,512,0.8378107284370837
