params,scores
"{'classifier__n_neighbors': 1, 'classifier__weights': 'uniform'}",0.719047619047619
"{'classifier__n_neighbors': 1, 'classifier__weights': 'distance'}",0.719047619047619
"{'classifier__n_neighbors': 2, 'classifier__weights': 'uniform'}",0.7742577030812325
"{'classifier__n_neighbors': 2, 'classifier__weights': 'distance'}",0.7408263305322128
"{'classifier__n_neighbors': 3, 'classifier__weights': 'uniform'}",0.7709103641456583
"{'classifier__n_neighbors': 3, 'classifier__weights': 'distance'}",0.7608543417366948
"{'classifier__n_neighbors': 4, 'classifier__weights': 'uniform'}",0.772563025210084
"{'classifier__n_neighbors': 4, 'classifier__weights': 'distance'}",0.7541736694677871
"{'classifier__n_neighbors': 5, 'classifier__weights': 'uniform'}",0.7658823529411766
"{'classifier__n_neighbors': 5, 'classifier__weights': 'distance'}",0.7608543417366948
"{'classifier__n_neighbors': 6, 'classifier__weights': 'uniform'}",0.7792296918767507
"{'classifier__n_neighbors': 6, 'classifier__weights': 'distance'}",0.7709103641456583
"{'classifier__n_neighbors': 7, 'classifier__weights': 'uniform'}",0.7843137254901962
"{'classifier__n_neighbors': 7, 'classifier__weights': 'distance'}",0.775952380952381
"{'classifier__n_neighbors': 8, 'classifier__weights': 'uniform'}",0.789327731092437
"{'classifier__n_neighbors': 8, 'classifier__weights': 'distance'}",0.7809803921568628
"{'classifier__n_neighbors': 9, 'classifier__weights': 'uniform'}",0.7876750700280113
"{'classifier__n_neighbors': 9, 'classifier__weights': 'distance'}",0.7809523809523811
"{'classifier__n_neighbors': 10, 'classifier__weights': 'uniform'}",0.797703081232493
"{'classifier__n_neighbors': 10, 'classifier__weights': 'distance'}",0.7859803921568628
"{'classifier__n_neighbors': 11, 'classifier__weights': 'uniform'}",0.7993697478991597
"{'classifier__n_neighbors': 11, 'classifier__weights': 'distance'}",0.7809523809523811
"{'classifier__n_neighbors': 12, 'classifier__weights': 'uniform'}",0.7910224089635854
"{'classifier__n_neighbors': 12, 'classifier__weights': 'distance'}",0.7909943977591036
"{'classifier__n_neighbors': 13, 'classifier__weights': 'uniform'}",0.7993837535014006
"{'classifier__n_neighbors': 13, 'classifier__weights': 'distance'}",0.7859943977591037
"{'classifier__n_neighbors': 14, 'classifier__weights': 'uniform'}",0.8027170868347339
"{'classifier__n_neighbors': 14, 'classifier__weights': 'distance'}",0.7876750700280113
"{'classifier__n_neighbors': 15, 'classifier__weights': 'uniform'}",0.8044117647058824
"{'classifier__n_neighbors': 15, 'classifier__weights': 'distance'}",0.7893137254901961
"{'classifier__n_neighbors': 16, 'classifier__weights': 'uniform'}",0.7943417366946779
"{'classifier__n_neighbors': 16, 'classifier__weights': 'distance'}",0.7993977591036414
"{'classifier__n_neighbors': 17, 'classifier__weights': 'uniform'}",0.8027030812324931
"{'classifier__n_neighbors': 17, 'classifier__weights': 'distance'}",0.7892997198879552
"{'classifier__n_neighbors': 18, 'classifier__weights': 'uniform'}",0.7926610644257703
"{'classifier__n_neighbors': 18, 'classifier__weights': 'distance'}",0.7976890756302522
"{'classifier__n_neighbors': 19, 'classifier__weights': 'uniform'}",0.7943417366946779
"{'classifier__n_neighbors': 19, 'classifier__weights': 'distance'}",0.7892997198879552
"{'classifier__n_neighbors': 20, 'classifier__weights': 'uniform'}",0.802689075630252
"{'classifier__n_neighbors': 20, 'classifier__weights': 'distance'}",0.7859663865546219
"{'classifier__n_neighbors': 22, 'classifier__weights': 'uniform'}",0.7993837535014006
"{'classifier__n_neighbors': 22, 'classifier__weights': 'distance'}",0.789327731092437
"{'classifier__n_neighbors': 24, 'classifier__weights': 'uniform'}",0.7993557422969187
"{'classifier__n_neighbors': 24, 'classifier__weights': 'distance'}",0.7842997198879552
"{'classifier__n_neighbors': 26, 'classifier__weights': 'uniform'}",0.7993277310924369
"{'classifier__n_neighbors': 26, 'classifier__weights': 'distance'}",0.7909663865546219
"{'classifier__n_neighbors': 28, 'classifier__weights': 'uniform'}",0.7992857142857143
"{'classifier__n_neighbors': 28, 'classifier__weights': 'distance'}",0.7909803921568628
"{'classifier__n_neighbors': 30, 'classifier__weights': 'uniform'}",0.795952380952381
"{'classifier__n_neighbors': 30, 'classifier__weights': 'distance'}",0.7876190476190477
