params,scores
"{'classifier__n_neighbors': 1, 'classifier__weights': 'uniform'}",0.9538461538461538
"{'classifier__n_neighbors': 1, 'classifier__weights': 'distance'}",0.9538461538461538
"{'classifier__n_neighbors': 2, 'classifier__weights': 'uniform'}",0.9472527472527472
"{'classifier__n_neighbors': 2, 'classifier__weights': 'distance'}",0.9538461538461538
"{'classifier__n_neighbors': 3, 'classifier__weights': 'uniform'}",0.9626373626373628
"{'classifier__n_neighbors': 3, 'classifier__weights': 'distance'}",0.9626373626373628
"{'classifier__n_neighbors': 4, 'classifier__weights': 'uniform'}",0.9604395604395604
"{'classifier__n_neighbors': 4, 'classifier__weights': 'distance'}",0.9538461538461538
"{'classifier__n_neighbors': 5, 'classifier__weights': 'uniform'}",0.9648351648351647
"{'classifier__n_neighbors': 5, 'classifier__weights': 'distance'}",0.9648351648351647
"{'classifier__n_neighbors': 6, 'classifier__weights': 'uniform'}",0.9560439560439562
"{'classifier__n_neighbors': 6, 'classifier__weights': 'distance'}",0.9626373626373625
"{'classifier__n_neighbors': 7, 'classifier__weights': 'uniform'}",0.9670329670329672
"{'classifier__n_neighbors': 7, 'classifier__weights': 'distance'}",0.9670329670329672
"{'classifier__n_neighbors': 8, 'classifier__weights': 'uniform'}",0.9604395604395606
"{'classifier__n_neighbors': 8, 'classifier__weights': 'distance'}",0.9626373626373625
"{'classifier__n_neighbors': 9, 'classifier__weights': 'uniform'}",0.9604395604395606
"{'classifier__n_neighbors': 9, 'classifier__weights': 'distance'}",0.9604395604395606
"{'classifier__n_neighbors': 10, 'classifier__weights': 'uniform'}",0.9626373626373628
"{'classifier__n_neighbors': 10, 'classifier__weights': 'distance'}",0.964835164835165
"{'classifier__n_neighbors': 11, 'classifier__weights': 'uniform'}",0.9538461538461538
"{'classifier__n_neighbors': 11, 'classifier__weights': 'distance'}",0.956043956043956
"{'classifier__n_neighbors': 12, 'classifier__weights': 'uniform'}",0.9626373626373628
"{'classifier__n_neighbors': 12, 'classifier__weights': 'distance'}",0.9604395604395604
"{'classifier__n_neighbors': 13, 'classifier__weights': 'uniform'}",0.9582417582417582
"{'classifier__n_neighbors': 13, 'classifier__weights': 'distance'}",0.9582417582417582
"{'classifier__n_neighbors': 14, 'classifier__weights': 'uniform'}",0.956043956043956
"{'classifier__n_neighbors': 14, 'classifier__weights': 'distance'}",0.956043956043956
"{'classifier__n_neighbors': 15, 'classifier__weights': 'uniform'}",0.9538461538461538
"{'classifier__n_neighbors': 15, 'classifier__weights': 'distance'}",0.956043956043956
"{'classifier__n_neighbors': 16, 'classifier__weights': 'uniform'}",0.9516483516483516
"{'classifier__n_neighbors': 16, 'classifier__weights': 'distance'}",0.9538461538461538
"{'classifier__n_neighbors': 17, 'classifier__weights': 'uniform'}",0.9516483516483516
"{'classifier__n_neighbors': 17, 'classifier__weights': 'distance'}",0.9516483516483516
"{'classifier__n_neighbors': 18, 'classifier__weights': 'uniform'}",0.956043956043956
"{'classifier__n_neighbors': 18, 'classifier__weights': 'distance'}",0.956043956043956
"{'classifier__n_neighbors': 19, 'classifier__weights': 'uniform'}",0.9538461538461538
"{'classifier__n_neighbors': 19, 'classifier__weights': 'distance'}",0.9538461538461538
"{'classifier__n_neighbors': 20, 'classifier__weights': 'uniform'}",0.9516483516483516
"{'classifier__n_neighbors': 20, 'classifier__weights': 'distance'}",0.9516483516483516
"{'classifier__n_neighbors': 22, 'classifier__weights': 'uniform'}",0.9494505494505494
"{'classifier__n_neighbors': 22, 'classifier__weights': 'distance'}",0.9494505494505494
"{'classifier__n_neighbors': 24, 'classifier__weights': 'uniform'}",0.9494505494505494
"{'classifier__n_neighbors': 24, 'classifier__weights': 'distance'}",0.9516483516483516
"{'classifier__n_neighbors': 26, 'classifier__weights': 'uniform'}",0.9472527472527472
"{'classifier__n_neighbors': 26, 'classifier__weights': 'distance'}",0.9516483516483516
"{'classifier__n_neighbors': 28, 'classifier__weights': 'uniform'}",0.9472527472527472
"{'classifier__n_neighbors': 28, 'classifier__weights': 'distance'}",0.9516483516483516
"{'classifier__n_neighbors': 30, 'classifier__weights': 'uniform'}",0.9516483516483516
"{'classifier__n_neighbors': 30, 'classifier__weights': 'distance'}",0.9516483516483516
