params,scores
"{'classifier__C': 8499.31082522784, 'classifier__l1_ratio': 0.28613933495037946, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",0.7125
"{'classifier__C': 3.4437298201112543e-06, 'classifier__l1_ratio': 0.5513147690828912, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",0.70125
"{'classifier__C': 24512.036560156757, 'classifier__l1_ratio': 0.42310646012446096, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",0.7125
"{'classifier__C': 4123670612.002949, 'classifier__l1_ratio': 0.6848297385848633, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",0.7125
"{'classifier__C': 0.4155641069593643, 'classifier__l1_ratio': 0.3921175181941505, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",0.7174999999999999
"{'classifier__C': 0.0007303992574671869, 'classifier__l1_ratio': 0.7290497073840416, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",0.70125
"{'classifier__C': 0.05908059951044757, 'classifier__l1_ratio': 0.05967789660956835, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",0.70125
"{'classifier__C': 0.00913871443142944, 'classifier__l1_ratio': 0.7379954057320357, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",0.70125
"{'classifier__C': 4.4651351550403446e-07, 'classifier__l1_ratio': 0.17545175614749253, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",0.70125
"{'classifier__C': 4.275899379511483, 'classifier__l1_ratio': 0.5318275870968661, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",0.7137499999999999
"{'classifier__C': 487.550011509359, 'classifier__l1_ratio': 0.8494317940777896, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",0.7125
"{'classifier__C': 30839.440988969804, 'classifier__l1_ratio': 0.6110235106775829, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",0.7125
"{'classifier__C': 28110.44051320102, 'classifier__l1_ratio': 0.3229589138531782, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",0.7125
"{'classifier__C': 0.0017209692577387279, 'classifier__l1_ratio': 0.22826323087895561, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",0.70125
"{'classifier__C': 7.486536180782766e-05, 'classifier__l1_ratio': 0.6309761238544878, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",0.70125
"{'classifier__C': 6.9518244865711424e-09, 'classifier__l1_ratio': 0.43370117267952824, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",0.70125
"{'classifier__C': 0.04142430841996471, 'classifier__l1_ratio': 0.4936850976503062, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",0.70125
"{'classifier__C': 0.03285532790445386, 'classifier__l1_ratio': 0.3122612229724653, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",0.70125
"{'classifier__C': 0.033653182389678266, 'classifier__l1_ratio': 0.8933891631171348, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",0.70125
"{'classifier__C': 764188264.5972263, 'classifier__l1_ratio': 0.5018366758843366, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",0.7125
"{'classifier__C': 301.34156251503754, 'classifier__l1_ratio': 0.11561839507929572, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",0.7125
"{'classifier__C': 0.00022167138584377197, 'classifier__l1_ratio': 0.4148262119536318, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",0.70125
"{'classifier__C': 21192547.130564228, 'classifier__l1_ratio': 0.2504553653965067, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",0.7125
"{'classifier__C': 0.45781001103090746, 'classifier__l1_ratio': 0.985559785610705, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",0.7112499999999999
"{'classifier__C': 2.4530273206373816, 'classifier__l1_ratio': 0.6128945257629677, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",0.7137499999999999
"{'classifier__C': 2.585671328919605e-08, 'classifier__l1_ratio': 0.8263408005068332, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",0.70125
"{'classifier__C': 115.13372826167684, 'classifier__l1_ratio': 0.5450680064664649, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",0.7125
"{'classifier__C': 0.0007165997882283895, 'classifier__l1_ratio': 0.3041207890271841, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",0.70125
"{'classifier__C': 0.02190000532776972, 'classifier__l1_ratio': 0.6813007657927966, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",0.70125
"{'classifier__C': 32295115.0400057, 'classifier__l1_ratio': 0.5104223374780111, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",0.7125
"{'classifier__C': 2433.748289222171, 'classifier__l1_ratio': 0.5859365525622129, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",0.7125
"{'classifier__C': 314.8256015901172, 'classifier__l1_ratio': 0.6746890509878248, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",0.7125
"{'classifier__C': 7028275.102274584, 'classifier__l1_ratio': 0.08319498833243877, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",0.7125
"{'classifier__C': 187783.24034129563, 'classifier__l1_ratio': 0.243666374536874, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",0.7125
"{'classifier__C': 7.664065567841108e-07, 'classifier__l1_ratio': 0.5724569574914731, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",0.70125
"{'classifier__C': 8.208245405386245e-09, 'classifier__l1_ratio': 0.8853268262751396, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",0.70125
"{'classifier__C': 350.73527017679504, 'classifier__l1_ratio': 0.7234163581899548, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",0.7125
"{'classifier__C': 2.1017648949911776e-10, 'classifier__l1_ratio': 0.5944318794450425, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",0.70125
"{'classifier__C': 13.667964681178, 'classifier__l1_ratio': 0.15895964414472274, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",0.7125
"{'classifier__C': 1.1518881287318024e-07, 'classifier__l1_ratio': 0.6955295287709109, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",0.70125
"{'classifier__C': 0.0002373168240415506, 'classifier__l1_ratio': 0.6919702955318197, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",0.70125
"{'classifier__C': 12.236719202872308, 'classifier__l1_ratio': 0.3889505741231446, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",0.7137499999999999
"{'classifier__C': 318163087.3723288, 'classifier__l1_ratio': 0.8416699969127163, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",0.7125
"{'classifier__C': 0.0014058899735484894, 'classifier__l1_ratio': 0.04359146379904055, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",0.70125
"{'classifier__C': 0.00012455508665783666, 'classifier__l1_ratio': 0.398185681917981, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",0.70125
"{'classifier__C': 12565.408413345129, 'classifier__l1_ratio': 0.9953584820340174, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",0.7125
"{'classifier__C': 0.0013130985275940292, 'classifier__l1_ratio': 0.7625478137854338, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",0.70125
"{'classifier__C': 73.03622724981692, 'classifier__l1_ratio': 0.6917017987001771, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",0.7125
"{'classifier__C': 1.053292633808708e-07, 'classifier__l1_ratio': 0.39887629272615654, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",0.70125
"{'classifier__C': 6.563234996980466e-06, 'classifier__l1_ratio': 0.34345601404832493, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",0.70125
