params,scores
"OrderedDict([('classifier__alpha', 0.010241941588527622), ('classifier__booster', 'gblinear'), ('classifier__colsample_bylevel', 0.980867390357355), ('classifier__colsample_bytree', 0.5391091147240039), ('classifier__eta', 0.3539418048290335), ('classifier__lambda', 0.0005598620590650279), ('classifier__max_depth', 6), ('classifier__min_child_weight', 2998576.508987343), ('classifier__n_estimators', 428), ('classifier__subsample', 0.1487101768686728)])",0.7037500000000001
"OrderedDict([('classifier__alpha', 0.8656795210916923), ('classifier__booster', 'gblinear'), ('classifier__colsample_bylevel', 0.44552315638370976), ('classifier__colsample_bytree', 0.2521097785005802), ('classifier__eta', 1.0058116572672189e-05), ('classifier__lambda', 26.33830603489776), ('classifier__max_depth', 3), ('classifier__min_child_weight', 108.15351314123669), ('classifier__n_estimators', 197), ('classifier__subsample', 0.8881759865774299)])",0.70125
"OrderedDict([('classifier__alpha', 1.0925553207054193e-05), ('classifier__booster', 'gblinear'), ('classifier__colsample_bylevel', 0.288425836351855), ('classifier__colsample_bytree', 0.08582606665390004), ('classifier__eta', 0.33811622155008575), ('classifier__lambda', 0.0018314133520209014), ('classifier__max_depth', 2), ('classifier__min_child_weight', 1201284.818273513), ('classifier__n_estimators', 401), ('classifier__subsample', 0.11416395593748624)])",0.71875
"OrderedDict([('classifier__alpha', 0.00018589633912551476), ('classifier__booster', 'gblinear'), ('classifier__colsample_bylevel', 0.8495191571553634), ('classifier__colsample_bytree', 0.7224350497903214), ('classifier__eta', 0.9653011929215052), ('classifier__lambda', 2.865596267929452e-05), ('classifier__max_depth', 6), ('classifier__min_child_weight', 32.81401324574078), ('classifier__n_estimators', 226), ('classifier__subsample', 0.6821761685660134)])",0.7137499999999999
"OrderedDict([('classifier__alpha', 7.265780072597593e-05), ('classifier__booster', 'gblinear'), ('classifier__colsample_bylevel', 0.46564093138994056), ('classifier__colsample_bytree', 0.9890339920482292), ('classifier__eta', 0.2761347398988713), ('classifier__lambda', 0.00015622573422300912), ('classifier__max_depth', 7), ('classifier__min_child_weight', 4032212.2989956876), ('classifier__n_estimators', 135), ('classifier__subsample', 0.1267743611933137)])",0.7137499999999999
"OrderedDict([('classifier__alpha', 1e-05), ('classifier__booster', 'gblinear'), ('classifier__colsample_bylevel', 0.0), ('classifier__colsample_bytree', 1.0), ('classifier__eta', 1.0), ('classifier__lambda', 1e-05), ('classifier__max_depth', 1), ('classifier__min_child_weight', 10000000.0), ('classifier__n_estimators', 1), ('classifier__subsample', 0.1)])",0.7074999999999999
"OrderedDict([('classifier__alpha', 9.873771382460439e-05), ('classifier__booster', 'gbtree'), ('classifier__colsample_bylevel', 0.3886771096802094), ('classifier__colsample_bytree', 0.15526460592634997), ('classifier__eta', 0.00035545832734579176), ('classifier__lambda', 0.7494931218405418), ('classifier__max_depth', 6), ('classifier__min_child_weight', 885285.0628453038), ('classifier__n_estimators', 405), ('classifier__subsample', 0.7949350209235821)])",0.70125
"OrderedDict([('classifier__alpha', 1e-05), ('classifier__booster', 'gblinear'), ('classifier__colsample_bylevel', 0.0), ('classifier__colsample_bytree', 0.0), ('classifier__eta', 1.0), ('classifier__lambda', 1e-05), ('classifier__max_depth', 10), ('classifier__min_child_weight', 10000000.0), ('classifier__n_estimators', 1), ('classifier__subsample', 1.0)])",0.7025
"OrderedDict([('classifier__alpha', 0.0003210404460555928), ('classifier__booster', 'dart'), ('classifier__colsample_bylevel', 0.04157786687516552), ('classifier__colsample_bytree', 0.32895081806085996), ('classifier__eta', 1.4058443077187726e-05), ('classifier__lambda', 62.67264520021763), ('classifier__max_depth', 8), ('classifier__min_child_weight', 46.32258685747483), ('classifier__n_estimators', 85), ('classifier__subsample', 0.4309559082878952)])",0.70125
"OrderedDict([('classifier__alpha', 0.00125093608896604), ('classifier__booster', 'gblinear'), ('classifier__colsample_bylevel', 0.5522388658907771), ('classifier__colsample_bytree', 0.7751577007404559), ('classifier__eta', 1.0), ('classifier__lambda', 1e-05), ('classifier__max_depth', 10), ('classifier__min_child_weight', 9171.533041893432), ('classifier__n_estimators', 97), ('classifier__subsample', 0.1)])",0.7175
"OrderedDict([('classifier__alpha', 0.001689123275076956), ('classifier__booster', 'dart'), ('classifier__colsample_bylevel', 0.18334888780719252), ('classifier__colsample_bytree', 0.653745390843203), ('classifier__eta', 0.0175769938156131), ('classifier__lambda', 0.4506156599793425), ('classifier__max_depth', 3), ('classifier__min_child_weight', 6.538803735897647), ('classifier__n_estimators', 286), ('classifier__subsample', 0.9486189478940156)])",0.7074999999999999
"OrderedDict([('classifier__alpha', 1e-05), ('classifier__booster', 'gblinear'), ('classifier__colsample_bylevel', 1.0), ('classifier__colsample_bytree', 1.0), ('classifier__eta', 1.0), ('classifier__lambda', 1e-05), ('classifier__max_depth', 10), ('classifier__min_child_weight', 1.0), ('classifier__n_estimators', 500), ('classifier__subsample', 0.1)])",0.7125
