params,scores
"{'classifier__eta': 0.001, 'classifier__max_depth': 5, 'classifier__n_estimators': 50}",0.8827434034066162
"{'classifier__eta': 0.001, 'classifier__max_depth': 5, 'classifier__n_estimators': 100}",0.8832962716734294
"{'classifier__eta': 0.001, 'classifier__max_depth': 5, 'classifier__n_estimators': 200}",0.8821893889028984
"{'classifier__eta': 0.001, 'classifier__max_depth': 5, 'classifier__n_estimators': 300}",0.8802537768505996
"{'classifier__eta': 0.001, 'classifier__max_depth': 5, 'classifier__n_estimators': 400}",0.8785940258132552
"{'classifier__eta': 0.001, 'classifier__max_depth': 10, 'classifier__n_estimators': 50}",0.8813602775421625
"{'classifier__eta': 0.001, 'classifier__max_depth': 10, 'classifier__n_estimators': 100}",0.8813606596211306
"{'classifier__eta': 0.001, 'classifier__max_depth': 10, 'classifier__n_estimators': 200}",0.8824660140757892
"{'classifier__eta': 0.001, 'classifier__max_depth': 10, 'classifier__n_estimators': 300}",0.8830188823426026
"{'classifier__eta': 0.001, 'classifier__max_depth': 10, 'classifier__n_estimators': 400}",0.8849552585528377
"{'classifier__eta': 0.01, 'classifier__max_depth': 5, 'classifier__n_estimators': 50}",0.8791480403169727
"{'classifier__eta': 0.01, 'classifier__max_depth': 5, 'classifier__n_estimators': 100}",0.8802541589295675
"{'classifier__eta': 0.01, 'classifier__max_depth': 5, 'classifier__n_estimators': 200}",0.87970014442585
"{'classifier__eta': 0.01, 'classifier__max_depth': 5, 'classifier__n_estimators': 300}",0.8808054988805086
"{'classifier__eta': 0.01, 'classifier__max_depth': 5, 'classifier__n_estimators': 400}",0.8802514843767909
"{'classifier__eta': 0.01, 'classifier__max_depth': 10, 'classifier__n_estimators': 50}",0.8841242367972612
"{'classifier__eta': 0.01, 'classifier__max_depth': 10, 'classifier__n_estimators': 100}",0.8824656319968212
"{'classifier__eta': 0.01, 'classifier__max_depth': 10, 'classifier__n_estimators': 200}",0.8832951254365252
"{'classifier__eta': 0.01, 'classifier__max_depth': 10, 'classifier__n_estimators': 300}",0.8830173540267303
"{'classifier__eta': 0.01, 'classifier__max_depth': 10, 'classifier__n_estimators': 400}",0.8821882426659942
"{'classifier__eta': 0.1, 'classifier__max_depth': 5, 'classifier__n_estimators': 50}",0.8816346102412446
"{'classifier__eta': 0.1, 'classifier__max_depth': 5, 'classifier__n_estimators': 100}",0.8827407288538396
"{'classifier__eta': 0.1, 'classifier__max_depth': 5, 'classifier__n_estimators': 200}",0.8843997157332477
"{'classifier__eta': 0.1, 'classifier__max_depth': 5, 'classifier__n_estimators': 300}",0.882743021327648
"{'classifier__eta': 0.1, 'classifier__max_depth': 5, 'classifier__n_estimators': 400}",0.8852322658046965
"{'classifier__eta': 0.1, 'classifier__max_depth': 10, 'classifier__n_estimators': 50}",0.8852307374888241
"{'classifier__eta': 0.1, 'classifier__max_depth': 10, 'classifier__n_estimators': 100}",0.8824656319968212
"{'classifier__eta': 0.1, 'classifier__max_depth': 10, 'classifier__n_estimators': 200}",0.8827403467748713
"{'classifier__eta': 0.1, 'classifier__max_depth': 10, 'classifier__n_estimators': 300}",0.8824637216019806
"{'classifier__eta': 0.1, 'classifier__max_depth': 10, 'classifier__n_estimators': 400}",0.8785921154184146
"{'classifier__eta': 0.3, 'classifier__max_depth': 5, 'classifier__n_estimators': 50}",0.8805277274707137
"{'classifier__eta': 0.3, 'classifier__max_depth': 5, 'classifier__n_estimators': 100}",0.8827407288538396
"{'classifier__eta': 0.3, 'classifier__max_depth': 5, 'classifier__n_estimators': 200}",0.877486378884788
"{'classifier__eta': 0.3, 'classifier__max_depth': 5, 'classifier__n_estimators': 300}",0.8794219909370868
"{'classifier__eta': 0.3, 'classifier__max_depth': 5, 'classifier__n_estimators': 400}",0.8774859968058198
"{'classifier__eta': 0.3, 'classifier__max_depth': 10, 'classifier__n_estimators': 50}",0.8824648678388849
"{'classifier__eta': 0.3, 'classifier__max_depth': 10, 'classifier__n_estimators': 100}",0.8766587958399242
"{'classifier__eta': 0.3, 'classifier__max_depth': 10, 'classifier__n_estimators': 200}",0.876658031681988
"{'classifier__eta': 0.3, 'classifier__max_depth': 10, 'classifier__n_estimators': 300}",0.8755522951483613
"{'classifier__eta': 0.3, 'classifier__max_depth': 10, 'classifier__n_estimators': 400}",0.8749982806446436
"{'classifier__eta': 0.5, 'classifier__max_depth': 5, 'classifier__n_estimators': 50}",0.8819104712561991
"{'classifier__eta': 0.5, 'classifier__max_depth': 5, 'classifier__n_estimators': 100}",0.8805258170758732
"{'classifier__eta': 0.5, 'classifier__max_depth': 5, 'classifier__n_estimators': 200}",0.8772074612380887
"{'classifier__eta': 0.5, 'classifier__max_depth': 5, 'classifier__n_estimators': 300}",0.8772074612380887
"{'classifier__eta': 0.5, 'classifier__max_depth': 5, 'classifier__n_estimators': 400}",0.8763772036404485
"{'classifier__eta': 0.5, 'classifier__max_depth': 10, 'classifier__n_estimators': 50}",0.8816353743991808
"{'classifier__eta': 0.5, 'classifier__max_depth': 10, 'classifier__n_estimators': 100}",0.8821870964290899
"{'classifier__eta': 0.5, 'classifier__max_depth': 10, 'classifier__n_estimators': 200}",0.8802522485347272
"{'classifier__eta': 0.5, 'classifier__max_depth': 10, 'classifier__n_estimators': 300}",0.8794227550950231
"{'classifier__eta': 0.5, 'classifier__max_depth': 10, 'classifier__n_estimators': 400}",0.8788691226702735
